"","parameter","est","se","pval"
"1","IA.BY A_02","1.000",0,"999.000"
"2","IA.BY A_03","1.000",0,"999.000"
"3","IA.BY A_04","1.000",0,"999.000"
"4","IA.BY A_05","1.000",0,"999.000"
"5","IA.BY A_06","1.000",0,"999.000"
"6","SA.BY A_02","0.000",0,"999.000"
"7","SA.BY A_03","2.000",0,"999.000"
"8","SA.BY A_04","4.000",0,"999.000"
"9","SA.BY A_05","6.000",0,"999.000"
"10","SA.BY A_06","8.000",0,"999.000"
"11","IB.BY B_02","1.000",0,"999.000"
"12","IB.BY B_03","1.000",0,"999.000"
"13","IB.BY B_04","1.000",0,"999.000"
"14","IB.BY B_05","1.000",0,"999.000"
"15","IB.BY B_06","1.000",0,"999.000"
"16","IA.ON AGE","-0.009",0.004,"0.031"
"17","IA.ON EDUC","0.092",0.005,"0.000"
"18","IA.ON HEALTH","-0.009",0.009,"0.317"
"19","IA.ON SEX","0.034",0.019,"0.073"
"20","IA.ON COH","-0.019",0.033,"0.567"
"21","SA.ON AGE","-0.006",0.001,"0.000"
"22","SA.ON EDUC","0.003",0.001,"0.006"
"23","SA.ON HEALTH","-0.001",0.002,"0.638"
"24","SA.ON SEX","0.003",0.004,"0.528"
"25","SA.ON COH","0.000",0.007,"0.976"
"26","IB.ON AGE","0.000",0.002,"0.977"
"27","IB.ON EDUC","-0.008",0.002,"0.000"
"28","IB.ON HEALTH","0.038",0.005,"0.000"
"29","IB.ON SEX","0.063",0.01,"0.000"
"30","IB.ON COH","-0.027",0.015,"0.076"
"31","A_02.ON A_01","-0.027",0.033,"0.421"
"32","A_02.ON B_01","-0.014",0.044,"0.748"
"33","A_03.ON A_02","0.031",0.023,"0.179"
"34","A_03.ON B_02","-0.037",0.034,"0.275"
"35","A_04.ON A_03","0.056",0.02,"0.004"
"36","A_04.ON B_03","-0.091",0.041,"0.026"
"37","A_05.ON A_04","0.121",0.029,"0.000"
"38","A_05.ON B_04","-0.095",0.055,"0.081"
"39","A_06.ON A_05","0.164",0.041,"0.000"
"40","A_06.ON B_05","-0.095",0.072,"0.184"
"41","B_02.ON B_01","0.246",0.063,"0.000"
"42","B_02.ON A_01","-0.022",0.006,"0.001"
"43","B_03.ON B_02","0.246",0.063,"0.000"
"44","B_03.ON A_02","-0.024",0.006,"0.000"
"45","B_04.ON B_03","0.246",0.063,"0.000"
"46","B_04.ON A_03","-0.023",0.006,"0.000"
"47","B_05.ON B_04","0.246",0.063,"0.000"
"48","B_05.ON A_04","-0.021",0.007,"0.002"
"49","B_06.ON B_05","0.246",0.063,"0.000"
"50","B_06.ON A_05","-0.022",0.007,"0.001"
"51","A_01.ON AGE","0.000",0.004,"0.909"
"52","A_01.ON EDUC","0.097",0.005,"0.000"
"53","A_01.ON HEALTH","-0.013",0.009,"0.160"
"54","A_01.ON SEX","0.033",0.02,"0.093"
"55","A_01.ON COH","0.026",0.034,"0.444"
"56","B_01.ON AGE","-0.003",0.005,"0.583"
"57","B_01.ON EDUC","-0.023",0.005,"0.000"
"58","B_01.ON HEALTH","0.057",0.011,"0.000"
"59","B_01.ON SEX","0.103",0.024,"0.000"
"60","B_01.ON COH","-0.047",0.041,"0.249"
"61","IA.WITH SA","-0.003",0.004,"0.432"
"62","IA.WITH A_01","0.257",0.021,"0.000"
"63","IA.WITH IB","-0.001",0.005,"0.759"
"64","SA.WITH A_01","-0.004",0.004,"0.253"
"65","IB.WITH B_01","0.077",0.01,"0.000"
"66","IB.WITH SA","0.000",0.001,"0.814"
"67","A_01.WITH B_01","-0.008",0.009,"0.379"
"68","Intercepts A_01","8.396",0.1,"0.000"
"69","Intercepts A_02","0.000",0,"999.000"
"70","Intercepts A_03","0.000",0,"999.000"
"71","Intercepts A_04","0.000",0,"999.000"
"72","Intercepts A_05","0.000",0,"999.000"
"73","Intercepts A_06","0.000",0,"999.000"
"74","Intercepts B_01","1.437",0.12,"0.000"
"75","Intercepts B_02","0.000",0,"999.000"
"76","Intercepts B_03","0.000",0,"999.000"
"77","Intercepts B_04","0.000",0,"999.000"
"78","Intercepts B_05","0.000",0,"999.000"
"79","Intercepts B_06","0.000",0,"999.000"
"80","Intercepts IA","8.776",0.301,"0.000"
"81","Intercepts SA","-0.245",0.071,"0.001"
"82","Intercepts IB","1.304",0.116,"0.000"
"83","Residual.Variances A_01","0.542",0.019,"0.000"
"84","Residual.Variances A_02","0.327",0.021,"0.000"
"85","Residual.Variances A_03","0.419",0.016,"0.000"
"86","Residual.Variances A_04","0.652",0.027,"0.000"
"87","Residual.Variances A_05","0.609",0.034,"0.000"
"88","Residual.Variances A_06","0.750",0.044,"0.000"
"89","Residual.Variances B_01","0.216",0.01,"0.000"
"90","Residual.Variances B_02","0.122",0.006,"0.000"
"91","Residual.Variances B_03","0.121",0.007,"0.000"
"92","Residual.Variances B_04","0.113",0.007,"0.000"
"93","Residual.Variances B_05","0.106",0.006,"0.000"
"94","Residual.Variances B_06","0.118",0.007,"0.000"
"95","Residual.Variances IA","0.260",0.034,"0.000"
"96","Residual.Variances SA","0.007",0.001,"0.000"
"97","Residual.Variances IB","0.075",0.014,"0.000"
