"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",0.038,0.008,0
"26","A_02.ON B_01",0.106,0.038,0.005
"27","A_03.ON A_02",0.095,0.013,0
"28","A_03.ON B_02",0.055,0.038,0.149
"29","A_04.ON A_03",0.118,0.018,0
"30","A_04.ON B_03",-0.009,0.045,0.841
"31","A_05.ON A_04",0.183,0.025,0
"32","A_05.ON B_04",-0.016,0.062,0.799
"33","A_06.ON A_05",0.225,0.031,0
"34","A_06.ON B_05",-0.021,0.083,0.801
"35","B_02.ON B_01",0.028,0.062,0.657
"36","B_02.ON A_01",-0.016,0.008,0.044
"37","B_03.ON B_02",-0.07,0.106,0.512
"38","B_03.ON A_02",-0.019,0.011,0.085
"39","B_04.ON B_03",-0.197,0.146,0.178
"40","B_04.ON A_03",-0.016,0.011,0.161
"41","B_05.ON B_04",-0.272,0.181,0.133
"42","B_05.ON A_04",-0.019,0.012,0.123
"43","B_06.ON B_05",-0.409,0.211,0.052
"44","B_06.ON A_05",-0.014,0.015,0.351
"45","SA.WITH IA",-0.004,0.002,0.015
"46","IB.WITH IA",-0.04,0.01,0
"47","IB.WITH SA",-0.001,0.001,0.39
"48","SB.WITH IA",0.002,0.001,0.205
"49","SB.WITH SA",0,0,0.266
"50","SB.WITH IB",0.004,0.003,0.234
"51","A_01.WITH B_01",0.004,0.01,0.706
"52","B_02.WITH A_02",0.006,0.006,0.364
"53","B_03.WITH A_03",-0.006,0.007,0.396
"54","B_04.WITH A_04",-0.004,0.009,0.67
"55","B_05.WITH A_05",-0.001,0.011,0.901
"56","B_06.WITH A_06",-0.02,0.012,0.107
"57","Means IA",8.52,0.011,0
"58","Means SA",-0.242,0.027,0
"59","Means IB",1.381,0.014,0
"60","Means SB",0.079,0.03,0.008
"61","Intercepts A_01",0,0,999
"62","Intercepts A_02",0,0,999
"63","Intercepts A_03",0,0,999
"64","Intercepts A_04",0,0,999
"65","Intercepts A_05",0,0,999
"66","Intercepts A_06",0,0,999
"67","Intercepts B_01",0,0,999
"68","Intercepts B_02",0,0,999
"69","Intercepts B_03",0,0,999
"70","Intercepts B_04",0,0,999
"71","Intercepts B_05",0,0,999
"72","Intercepts B_06",0,0,999
"73","Variances IA",0.318,0.023,0
"74","Variances SA",0.004,0.001,0
"75","Variances IB",0.123,0.017,0
"76","Variances SB",0.001,0,0.021
"77","Residual.Variances A_01",0.289,0.014,0
"78","Residual.Variances A_02",0.353,0.015,0
"79","Residual.Variances A_03",0.425,0.017,0
"80","Residual.Variances A_04",0.688,0.028,0
"81","Residual.Variances A_05",0.655,0.033,0
"82","Residual.Variances A_06",0.833,0.045,0
"83","Residual.Variances B_01",0.108,0.015,0
"84","Residual.Variances B_02",0.106,0.01,0
"85","Residual.Variances B_03",0.122,0.012,0
"86","Residual.Variances B_04",0.121,0.01,0
"87","Residual.Variances B_05",0.101,0.011,0
"88","Residual.Variances B_06",0.11,0.009,0
