"","parameter","est","se","pval"
"1","IA.BY A_02","1.000",0,"999.000"
"2","IA.BY A_03","1.000",0,"999.000"
"3","IA.BY A_04","1.000",0,"999.000"
"4","IA.BY A_05","1.000",0,"999.000"
"5","IA.BY A_06","1.000",0,"999.000"
"6","SA.BY A_02","0.000",0,"999.000"
"7","SA.BY A_03","2.000",0,"999.000"
"8","SA.BY A_04","4.000",0,"999.000"
"9","SA.BY A_05","6.000",0,"999.000"
"10","SA.BY A_06","8.000",0,"999.000"
"11","IB.BY B_02","1.000",0,"999.000"
"12","IB.BY B_03","1.000",0,"999.000"
"13","IB.BY B_04","1.000",0,"999.000"
"14","IB.BY B_05","1.000",0,"999.000"
"15","IB.BY B_06","1.000",0,"999.000"
"16","IA.ON AGE","-0.009",0.004,"0.033"
"17","IA.ON EDUC","0.092",0.006,"0.000"
"18","IA.ON HEALTH","-0.010",0.009,"0.266"
"19","IA.ON SEX","0.032",0.02,"0.115"
"20","IA.ON COH","-0.018",0.033,"0.589"
"21","SA.ON AGE","-0.006",0.001,"0.000"
"22","SA.ON EDUC","0.003",0.001,"0.013"
"23","SA.ON HEALTH","-0.001",0.002,"0.446"
"24","SA.ON SEX","-0.001",0.004,"0.825"
"25","SA.ON COH","0.000",0.007,"0.947"
"26","IB.ON AGE","-0.126",0.033,"0.000"
"27","IB.ON EDUC","0.323",0.038,"0.000"
"28","IB.ON HEALTH","-0.132",0.069,"0.056"
"29","IB.ON SEX","1.717",0.209,"0.000"
"30","IB.ON COH","-0.083",0.268,"0.758"
"31","A_02.ON A_01","-0.020",0.033,"0.537"
"32","A_02.ON B_01","-0.001",0.003,"0.719"
"33","A_03.ON A_02","0.025",0.023,"0.268"
"34","A_03.ON B_02","0.004",0.002,"0.043"
"35","A_04.ON A_03","0.046",0.019,"0.019"
"36","A_04.ON B_03","0.006",0.003,"0.015"
"37","A_05.ON A_04","0.123",0.028,"0.000"
"38","A_05.ON B_04","0.005",0.003,"0.122"
"39","A_06.ON A_05","0.169",0.042,"0.000"
"40","A_06.ON B_05","0.007",0.004,"0.100"
"41","B_02.ON B_01","0.225",0.057,"0.000"
"42","B_02.ON A_01","0.417",0.1,"0.000"
"43","B_03.ON B_02","0.225",0.057,"0.000"
"44","B_03.ON A_02","0.446",0.101,"0.000"
"45","B_04.ON B_03","0.225",0.057,"0.000"
"46","B_04.ON A_03","0.403",0.101,"0.000"
"47","B_05.ON B_04","0.225",0.057,"0.000"
"48","B_05.ON A_04","0.364",0.106,"0.001"
"49","B_06.ON B_05","0.225",0.057,"0.000"
"50","B_06.ON A_05","0.293",0.105,"0.005"
"51","A_01.ON AGE","0.000",0.004,"0.919"
"52","A_01.ON EDUC","0.097",0.005,"0.000"
"53","A_01.ON HEALTH","-0.013",0.009,"0.156"
"54","A_01.ON SEX","0.033",0.02,"0.091"
"55","A_01.ON COH","0.026",0.034,"0.450"
"56","B_01.ON AGE","-0.020",0.091,"0.826"
"57","B_01.ON EDUC","0.349",0.078,"0.000"
"58","B_01.ON HEALTH","0.113",0.187,"0.547"
"59","B_01.ON SEX","3.379",0.407,"0.000"
"60","B_01.ON COH","-0.115",0.792,"0.884"
"61","IA.WITH SA","-0.004",0.004,"0.390"
"62","IA.WITH A_01","0.255",0.021,"0.000"
"63","IA.WITH IB","0.028",0.083,"0.735"
"64","SA.WITH A_01","-0.004",0.004,"0.287"
"65","IB.WITH B_01","22.648",2.6,"0.000"
"66","IB.WITH SA","0.011",0.024,"0.661"
"67","A_01.WITH B_01","-0.167",0.159,"0.292"
"68","Intercepts A_01","8.396",0.1,"0.000"
"69","Intercepts A_02","0.000",0,"999.000"
"70","Intercepts A_03","0.000",0,"999.000"
"71","Intercepts A_04","0.000",0,"999.000"
"72","Intercepts A_05","0.000",0,"999.000"
"73","Intercepts A_06","0.000",0,"999.000"
"74","Intercepts B_01","28.622",2.303,"0.000"
"75","Intercepts B_02","0.000",0,"999.000"
"76","Intercepts B_03","0.000",0,"999.000"
"77","Intercepts B_04","0.000",0,"999.000"
"78","Intercepts B_05","0.000",0,"999.000"
"79","Intercepts B_06","0.000",0,"999.000"
"80","Intercepts IA","8.730",0.314,"0.000"
"81","Intercepts SA","-0.287",0.071,"0.000"
"82","Intercepts IB","18.636",2.087,"0.000"
"83","Residual.Variances A_01","0.543",0.019,"0.000"
"84","Residual.Variances A_02","0.323",0.021,"0.000"
"85","Residual.Variances A_03","0.417",0.016,"0.000"
"86","Residual.Variances A_04","0.653",0.027,"0.000"
"87","Residual.Variances A_05","0.610",0.034,"0.000"
"88","Residual.Variances A_06","0.750",0.044,"0.000"
"89","Residual.Variances B_01","65.850",2.874,"0.000"
"90","Residual.Variances B_02","29.368",1.442,"0.000"
"91","Residual.Variances B_03","29.779",1.702,"0.000"
"92","Residual.Variances B_04","26.614",1.494,"0.000"
"93","Residual.Variances B_05","31.915",1.739,"0.000"
"94","Residual.Variances B_06","32.123",1.871,"0.000"
"95","Residual.Variances IA","0.262",0.034,"0.000"
"96","Residual.Variances SA","0.007",0.001,"0.000"
"97","Residual.Variances IB","23.505",3.697,"0.000"
