"","parameter","est","se","pval"
"1","IA.BY A_02","1.000",0,"999.000"
"2","IA.BY A_03","1.000",0,"999.000"
"3","IA.BY A_04","1.000",0,"999.000"
"4","IA.BY A_05","1.000",0,"999.000"
"5","IA.BY A_06","1.000",0,"999.000"
"6","SA.BY A_02","0.000",0,"999.000"
"7","SA.BY A_03","2.000",0,"999.000"
"8","SA.BY A_04","4.000",0,"999.000"
"9","SA.BY A_05","6.000",0,"999.000"
"10","SA.BY A_06","8.000",0,"999.000"
"11","IB.BY B_02","1.000",0,"999.000"
"12","IB.BY B_03","1.000",0,"999.000"
"13","IB.BY B_04","1.000",0,"999.000"
"14","IB.BY B_05","1.000",0,"999.000"
"15","IB.BY B_06","1.000",0,"999.000"
"16","IA.ON AGE","-0.008",0.004,"0.040"
"17","IA.ON EDUC","0.091",0.005,"0.000"
"18","IA.ON HEALTH","-0.009",0.009,"0.278"
"19","IA.ON SEX","0.038",0.019,"0.043"
"20","IA.ON COH","-0.019",0.033,"0.567"
"21","SA.ON AGE","-0.006",0.001,"0.000"
"22","SA.ON EDUC","0.003",0.001,"0.009"
"23","SA.ON HEALTH","-0.001",0.002,"0.456"
"24","SA.ON SEX","0.005",0.004,"0.275"
"25","SA.ON COH","0.000",0.007,"0.977"
"26","IB.ON AGE","-0.013",0.003,"0.000"
"27","IB.ON EDUC","0.019",0.003,"0.000"
"28","IB.ON HEALTH","-0.010",0.006,"0.082"
"29","IB.ON SEX","-0.186",0.021,"0.000"
"30","IB.ON COH","0.034",0.022,"0.121"
"31","A_02.ON A_01","-0.018",0.033,"0.574"
"32","A_02.ON B_01","0.016",0.028,"0.550"
"33","A_03.ON A_02","0.027",0.023,"0.255"
"34","A_03.ON B_02","0.064",0.023,"0.006"
"35","A_04.ON A_03","0.048",0.019,"0.015"
"36","A_04.ON B_03","0.083",0.026,"0.001"
"37","A_05.ON A_04","0.120",0.029,"0.000"
"38","A_05.ON B_04","0.089",0.033,"0.007"
"39","A_06.ON A_05","0.168",0.043,"0.000"
"40","A_06.ON B_05","0.110",0.041,"0.008"
"41","B_02.ON B_01","0.318",0.064,"0.000"
"42","B_02.ON A_01","0.045",0.009,"0.000"
"43","B_03.ON B_02","0.318",0.064,"0.000"
"44","B_03.ON A_02","0.033",0.009,"0.000"
"45","B_04.ON B_03","0.318",0.064,"0.000"
"46","B_04.ON A_03","0.027",0.009,"0.004"
"47","B_05.ON B_04","0.318",0.064,"0.000"
"48","B_05.ON A_04","0.015",0.01,"0.148"
"49","B_06.ON B_05","0.318",0.064,"0.000"
"50","B_06.ON A_05","0.008",0.01,"0.442"
"51","A_01.ON AGE","0.000",0.004,"0.919"
"52","A_01.ON EDUC","0.097",0.005,"0.000"
"53","A_01.ON HEALTH","-0.013",0.009,"0.158"
"54","A_01.ON SEX","0.033",0.02,"0.092"
"55","A_01.ON COH","0.026",0.034,"0.448"
"56","B_01.ON AGE","-0.013",0.007,"0.075"
"57","B_01.ON EDUC","0.020",0.007,"0.005"
"58","B_01.ON HEALTH","-0.011",0.017,"0.518"
"59","B_01.ON SEX","-0.187",0.039,"0.000"
"60","B_01.ON COH","0.031",0.064,"0.624"
"61","IA.WITH SA","-0.003",0.004,"0.421"
"62","IA.WITH A_01","0.254",0.021,"0.000"
"63","IA.WITH IB","0.000",0.007,"0.963"
"64","SA.WITH A_01","-0.004",0.004,"0.316"
"65","IB.WITH B_01","0.177",0.024,"0.000"
"66","IB.WITH SA","-0.002",0.002,"0.331"
"67","A_01.WITH B_01","-0.004",0.014,"0.749"
"68","Intercepts A_01","8.396",0.1,"0.000"
"69","Intercepts A_02","0.000",0,"999.000"
"70","Intercepts A_03","0.000",0,"999.000"
"71","Intercepts A_04","0.000",0,"999.000"
"72","Intercepts A_05","0.000",0,"999.000"
"73","Intercepts A_06","0.000",0,"999.000"
"74","Intercepts B_01","3.459",0.189,"0.000"
"75","Intercepts B_02","0.000",0,"999.000"
"76","Intercepts B_03","0.000",0,"999.000"
"77","Intercepts B_04","0.000",0,"999.000"
"78","Intercepts B_05","0.000",0,"999.000"
"79","Intercepts B_06","0.000",0,"999.000"
"80","Intercepts IA","8.628",0.315,"0.000"
"81","Intercepts SA","-0.291",0.072,"0.000"
"82","Intercepts IB","2.005",0.256,"0.000"
"83","Residual.Variances A_01","0.542",0.019,"0.000"
"84","Residual.Variances A_02","0.324",0.021,"0.000"
"85","Residual.Variances A_03","0.417",0.016,"0.000"
"86","Residual.Variances A_04","0.652",0.027,"0.000"
"87","Residual.Variances A_05","0.609",0.034,"0.000"
"88","Residual.Variances A_06","0.748",0.044,"0.000"
"89","Residual.Variances B_01","0.556",0.03,"0.000"
"90","Residual.Variances B_02","0.182",0.013,"0.000"
"91","Residual.Variances B_03","0.232",0.018,"0.000"
"92","Residual.Variances B_04","0.248",0.016,"0.000"
"93","Residual.Variances B_05","0.331",0.021,"0.000"
"94","Residual.Variances B_06","0.389",0.027,"0.000"
"95","Residual.Variances IA","0.260",0.034,"0.000"
"96","Residual.Variances SA","0.007",0.001,"0.000"
"97","Residual.Variances IB","0.138",0.031,"0.000"
