"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",0.059,0.009,0
"26","A_02.ON B_01",0.001,0.002,0.736
"27","A_03.ON A_02",0.1,0.013,0
"28","A_03.ON B_02",0.005,0.002,0.018
"29","A_04.ON A_03",0.111,0.018,0
"30","A_04.ON B_03",0.007,0.002,0.003
"31","A_05.ON A_04",0.198,0.026,0
"32","A_05.ON B_04",0.002,0.003,0.447
"33","A_06.ON A_05",0.245,0.033,0
"34","A_06.ON B_05",0.003,0.004,0.514
"35","B_02.ON B_01",-0.04,0.049,0.413
"36","B_02.ON A_01",-0.237,0.185,0.201
"37","B_03.ON B_02",-0.162,0.075,0.031
"38","B_03.ON A_02",-0.099,0.222,0.655
"39","B_04.ON B_03",-0.358,0.079,0
"40","B_04.ON A_03",0.247,0.164,0.132
"41","B_05.ON B_04",-0.515,0.072,0
"42","B_05.ON A_04",0.438,0.203,0.031
"43","B_06.ON B_05",-0.721,0.103,0
"44","B_06.ON A_05",0.736,0.301,0.014
"45","SA.WITH IA",-0.004,0.002,0.055
"46","IB.WITH IA",0.598,0.16,0
"47","IB.WITH SA",0.002,0.021,0.935
"48","SB.WITH IA",0.036,0.024,0.142
"49","SB.WITH SA",0.009,0.004,0.037
"50","SB.WITH IB",3.243,0.848,0
"51","A_01.WITH B_01",-0.2,0.181,0.27
"52","B_02.WITH A_02",-0.135,0.096,0.158
"53","B_03.WITH A_03",-0.038,0.119,0.748
"54","B_04.WITH A_04",0.056,0.136,0.681
"55","B_05.WITH A_05",0.291,0.192,0.129
"56","B_06.WITH A_06",0.583,0.204,0.004
"57","Means IA",8.521,0.011,0
"58","Means SA",-0.269,0.028,0
"59","Means IB",30.309,0.233,0
"60","Means SB",1.227,0.342,0
"61","Intercepts A_01",0,0,999
"62","Intercepts A_02",0,0,999
"63","Intercepts A_03",0,0,999
"64","Intercepts A_04",0,0,999
"65","Intercepts A_05",0,0,999
"66","Intercepts A_06",0,0,999
"67","Intercepts B_01",0,0,999
"68","Intercepts B_02",0,0,999
"69","Intercepts B_03",0,0,999
"70","Intercepts B_04",0,0,999
"71","Intercepts B_05",0,0,999
"72","Intercepts B_06",0,0,999
"73","Variances IA",0.302,0.023,0
"74","Variances SA",0.004,0.001,0
"75","Variances IB",31.097,5.041,0
"76","Variances SB",-0.035,0.194,0.856
"77","Residual.Variances A_01",0.301,0.014,0
"78","Residual.Variances A_02",0.354,0.015,0
"79","Residual.Variances A_03",0.423,0.017,0
"80","Residual.Variances A_04",0.694,0.029,0
"81","Residual.Variances A_05",0.665,0.033,0
"82","Residual.Variances A_06",0.843,0.046,0
"83","Residual.Variances B_01",40.424,5.191,0
"84","Residual.Variances B_02",25.596,2.428,0
"85","Residual.Variances B_03",31.491,4.207,0
"86","Residual.Variances B_04",32.545,3.152,0
"87","Residual.Variances B_05",33.038,2.459,0
"88","Residual.Variances B_06",26.368,2.854,0
