"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",0.06,0.009,0
"26","A_02.ON B_01",0,0.002,0.999
"27","A_03.ON A_02",0.099,0.012,0
"28","A_03.ON B_02",0.004,0.002,0.062
"29","A_04.ON A_03",0.112,0.018,0
"30","A_04.ON B_03",0.006,0.003,0.049
"31","A_05.ON A_04",0.195,0.026,0
"32","A_05.ON B_04",0.002,0.004,0.636
"33","A_06.ON A_05",0.247,0.033,0
"34","A_06.ON B_05",0,0.005,0.952
"35","B_02.ON B_01",0.023,0.062,0.717
"36","B_02.ON A_01",-0.077,0.181,0.668
"37","B_03.ON B_02",0.023,0.062,0.717
"38","B_03.ON A_02",0.026,0.152,0.862
"39","B_04.ON B_03",0.023,0.062,0.717
"40","B_04.ON A_03",0.074,0.152,0.626
"41","B_05.ON B_04",0.023,0.062,0.717
"42","B_05.ON A_04",0.114,0.184,0.534
"43","B_06.ON B_05",0.023,0.062,0.717
"44","B_06.ON A_05",0.116,0.225,0.607
"45","SA.WITH IA",-0.003,0.002,0.067
"46","IB.WITH IA",0.548,0.144,0
"47","IB.WITH SA",0.008,0.022,0.73
"48","SB.WITH IA",0.008,0.021,0.717
"49","SB.WITH SA",0.009,0.003,0.003
"50","SB.WITH IB",-0.05,0.29,0.863
"51","A_01.WITH B_01",-0.186,0.178,0.295
"52","Means IA",8.521,0.011,0
"53","Means SA",-0.264,0.028,0
"54","Means IB",30.326,0.231,0
"55","Means SB",-0.409,0.267,0.125
"56","Intercepts A_01",0,0,999
"57","Intercepts A_02",0,0,999
"58","Intercepts A_03",0,0,999
"59","Intercepts A_04",0,0,999
"60","Intercepts A_05",0,0,999
"61","Intercepts A_06",0,0,999
"62","Intercepts B_01",0,0,999
"63","Intercepts B_02",0,0,999
"64","Intercepts B_03",0,0,999
"65","Intercepts B_04",0,0,999
"66","Intercepts B_05",0,0,999
"67","Intercepts B_06",0,0,999
"68","Variances IA",0.301,0.022,0
"69","Variances SA",0.004,0.001,0
"70","Variances IB",37.384,4.403,0
"71","Variances SB",0.15,0.063,0.017
"72","Residual.Variances A_01",0.301,0.014,0
"73","Residual.Variances A_02",0.354,0.015,0
"74","Residual.Variances A_03",0.423,0.017,0
"75","Residual.Variances A_04",0.694,0.029,0
"76","Residual.Variances A_05",0.665,0.033,0
"77","Residual.Variances A_06",0.842,0.046,0
"78","Residual.Variances B_01",36.085,3.883,0
"79","Residual.Variances B_02",28.04,1.81,0
"80","Residual.Variances B_03",31.476,1.754,0
"81","Residual.Variances B_04",27.567,1.425,0
"82","Residual.Variances B_05",28.431,2.055,0
"83","Residual.Variances B_06",27.474,2.557,0
