"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",0.015,0.012,0.2
"26","A_02.ON B_01",0.036,0.01,0
"27","A_03.ON A_02",0.059,0.014,0
"28","A_03.ON B_02",0.043,0.012,0
"29","A_04.ON A_03",0.114,0.019,0
"30","A_04.ON B_03",0.006,0.014,0.674
"31","A_05.ON A_04",0.196,0.026,0
"32","A_05.ON B_04",-0.009,0.018,0.638
"33","A_06.ON A_05",0.243,0.033,0
"34","A_06.ON B_05",-0.012,0.025,0.618
"35","B_02.ON B_01",-0.057,0.038,0.131
"36","B_02.ON A_01",-0.03,0.033,0.364
"37","B_03.ON B_02",-0.097,0.08,0.227
"38","B_03.ON A_02",-0.06,0.04,0.133
"39","B_04.ON B_03",-0.239,0.102,0.019
"40","B_04.ON A_03",0.03,0.039,0.441
"41","B_05.ON B_04",-0.282,0.129,0.029
"42","B_05.ON A_04",0.01,0.045,0.821
"43","B_06.ON B_05",-0.34,0.147,0.021
"44","B_06.ON A_05",0,0.047,0.996
"45","SA.WITH IA",-0.006,0.002,0.002
"46","IB.WITH IA",-0.005,0.031,0.875
"47","IB.WITH SA",-0.001,0.004,0.801
"48","SB.WITH IA",-0.005,0.005,0.275
"49","SB.WITH SA",0.001,0.001,0.503
"50","SB.WITH IB",0.002,0.021,0.92
"51","A_01.WITH B_01",-0.003,0.03,0.913
"52","B_02.WITH A_02",0.013,0.019,0.498
"53","B_03.WITH A_03",0.001,0.02,0.946
"54","B_04.WITH A_04",0.002,0.024,0.928
"55","B_05.WITH A_05",0.049,0.032,0.119
"56","B_06.WITH A_06",-0.024,0.042,0.572
"57","Means IA",8.519,0.011,0
"58","Means SA",-0.248,0.031,0
"59","Means IB",9.778,0.04,0
"60","Means SB",0.306,0.132,0.021
"61","Intercepts A_01",0,0,999
"62","Intercepts A_02",0,0,999
"63","Intercepts A_03",0,0,999
"64","Intercepts A_04",0,0,999
"65","Intercepts A_05",0,0,999
"66","Intercepts A_06",0,0,999
"67","Intercepts B_01",0,0,999
"68","Intercepts B_02",0,0,999
"69","Intercepts B_03",0,0,999
"70","Intercepts B_04",0,0,999
"71","Intercepts B_05",0,0,999
"72","Intercepts B_06",0,0,999
"73","Variances IA",0.335,0.024,0
"74","Variances SA",0.004,0.001,0
"75","Variances IB",1.682,0.119,0
"76","Variances SB",0.01,0.003,0
"77","Residual.Variances A_01",0.278,0.014,0
"78","Residual.Variances A_02",0.345,0.015,0
"79","Residual.Variances A_03",0.422,0.017,0
"80","Residual.Variances A_04",0.694,0.029,0
"81","Residual.Variances A_05",0.661,0.033,0
"82","Residual.Variances A_06",0.834,0.045,0
"83","Residual.Variances B_01",0.725,0.111,0
"84","Residual.Variances B_02",0.755,0.066,0
"85","Residual.Variances B_03",0.982,0.098,0
"86","Residual.Variances B_04",1.081,0.065,0
"87","Residual.Variances B_05",0.996,0.079,0
"88","Residual.Variances B_06",0.968,0.087,0
