"","parameter","est","se","pval"
"1","IA.BY A_02",1,0,999
"2","IA.BY A_03",1,0,999
"3","IA.BY A_04",1,0,999
"4","IA.BY A_05",1,0,999
"5","IA.BY A_06",1,0,999
"6","SA.BY A_02",0,0,999
"7","SA.BY A_03",2,0,999
"8","SA.BY A_04",4,0,999
"9","SA.BY A_05",6,0,999
"10","SA.BY A_06",8,0,999
"11","IB.BY B_02",1,0,999
"12","IB.BY B_03",1,0,999
"13","IB.BY B_04",1,0,999
"14","IB.BY B_05",1,0,999
"15","IB.BY B_06",1,0,999
"16","A_02.ON A_01",-0.036,0.033,0.279
"17","A_02.ON B_01",0.016,0.013,0.248
"18","A_03.ON A_02",-0.002,0.025,0.928
"19","A_03.ON B_02",0.033,0.011,0.004
"20","A_04.ON A_03",0.054,0.021,0.01
"21","A_04.ON B_03",-0.002,0.012,0.831
"22","A_05.ON A_04",0.121,0.031,0
"23","A_05.ON B_04",-0.004,0.012,0.715
"24","A_06.ON A_05",0.151,0.046,0.001
"25","A_06.ON B_05",0.007,0.014,0.619
"26","B_02.ON B_01",0.299,0.056,0
"27","B_02.ON A_01",-0.021,0.018,0.238
"28","B_03.ON B_02",0.299,0.056,0
"29","B_03.ON A_02",-0.017,0.018,0.346
"30","B_04.ON B_03",0.299,0.056,0
"31","B_04.ON A_03",-0.012,0.018,0.486
"32","B_05.ON B_04",0.299,0.056,0
"33","B_05.ON A_04",-0.011,0.019,0.535
"34","B_06.ON B_05",0.299,0.056,0
"35","B_06.ON A_05",-0.016,0.018,0.369
"36","IA.WITH SA",-0.001,0.005,0.794
"37","IA.WITH A_01",0.35,0.028,0
"38","IA.WITH IB",-0.007,0.016,0.66
"39","SA.WITH A_01",-0.001,0.005,0.819
"40","IB.WITH B_01",0.897,0.103,0
"41","A_01.WITH B_01",0.008,0.03,0.803
"42","Means A_01",8.517,0.011,0
"43","Means B_01",9.781,0.04,0
"44","Means IA",8.662,0.316,0
"45","Means SA",-0.26,0.072,0
"46","Means IB",6.833,0.544,0
"47","Intercepts A_02",0,0,999
"48","Intercepts A_03",0,0,999
"49","Intercepts A_04",0,0,999
"50","Intercepts A_05",0,0,999
"51","Intercepts A_06",0,0,999
"52","Intercepts B_02",0,0,999
"53","Intercepts B_03",0,0,999
"54","Intercepts B_04",0,0,999
"55","Intercepts B_05",0,0,999
"56","Intercepts B_06",0,0,999
"57","Variances A_01",0.632,0.024,0
"58","Variances B_01",2.352,0.094,0
"59","Variances IA",0.369,0.042,0
"60","Variances SA",0.009,0.001,0
"61","Variances IB",0.691,0.127,0
"62","Residual.Variances A_02",0.309,0.022,0
"63","Residual.Variances A_03",0.415,0.017,0
"64","Residual.Variances A_04",0.659,0.028,0
"65","Residual.Variances A_05",0.6,0.037,0
"66","Residual.Variances A_06",0.744,0.045,0
"67","Residual.Variances B_02",0.934,0.048,0
"68","Residual.Variances B_03",1.003,0.061,0
"69","Residual.Variances B_04",1.009,0.06,0
"70","Residual.Variances B_05",1.05,0.063,0
"71","Residual.Variances B_06",1.115,0.068,0
