"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",0.048,0.011,0
"26","A_02.ON B_01",0.049,0.026,0.062
"27","A_03.ON A_02",0.091,0.013,0
"28","A_03.ON B_02",0.096,0.032,0.003
"29","A_04.ON A_03",0.112,0.019,0
"30","A_04.ON B_03",0.108,0.038,0.004
"31","A_05.ON A_04",0.198,0.026,0
"32","A_05.ON B_04",0.088,0.054,0.107
"33","A_06.ON A_05",0.246,0.033,0
"34","A_06.ON B_05",0.106,0.078,0.175
"35","B_02.ON B_01",0.061,0.163,0.708
"36","B_02.ON A_01",0.01,0.017,0.562
"37","B_03.ON B_02",0.13,0.357,0.715
"38","B_03.ON A_02",0.003,0.019,0.861
"39","B_04.ON B_03",0.22,0.548,0.688
"40","B_04.ON A_03",-0.008,0.02,0.692
"41","B_05.ON B_04",0.21,0.707,0.767
"42","B_05.ON A_04",0.016,0.032,0.632
"43","B_06.ON B_05",0.204,1.037,0.844
"44","B_06.ON A_05",0.041,0.044,0.347
"45","SA.WITH IA",-0.005,0.002,0.017
"46","IB.WITH IA",0.026,0.013,0.046
"47","IB.WITH SA",0.003,0.002,0.271
"48","SB.WITH IA",0.003,0.005,0.562
"49","SB.WITH SA",0,0,0.239
"50","SB.WITH IB",-0.013,0.026,0.607
"51","A_01.WITH B_01",0.01,0.018,0.569
"52","B_02.WITH A_02",-0.007,0.009,0.446
"53","B_03.WITH A_03",-0.012,0.011,0.263
"54","B_04.WITH A_04",0.003,0.019,0.863
"55","B_05.WITH A_05",0.039,0.023,0.084
"56","B_06.WITH A_06",0.022,0.022,0.322
"57","Means IA",8.52,0.011,0
"58","Means SA",-0.295,0.034,0
"59","Means IB",3.383,0.022,0
"60","Means SB",-0.137,0.297,0.645
"61","Intercepts A_01",0,0,999
"62","Intercepts A_02",0,0,999
"63","Intercepts A_03",0,0,999
"64","Intercepts A_04",0,0,999
"65","Intercepts A_05",0,0,999
"66","Intercepts A_06",0,0,999
"67","Intercepts B_01",0,0,999
"68","Intercepts B_02",0,0,999
"69","Intercepts B_03",0,0,999
"70","Intercepts B_04",0,0,999
"71","Intercepts B_05",0,0,999
"72","Intercepts B_06",0,0,999
"73","Variances IA",0.309,0.023,0
"74","Variances SA",0.004,0.001,0
"75","Variances IB",0.35,0.041,0
"76","Variances SB",0.002,0.001,0.278
"77","Residual.Variances A_01",0.295,0.014,0
"78","Residual.Variances A_02",0.352,0.015,0
"79","Residual.Variances A_03",0.421,0.017,0
"80","Residual.Variances A_04",0.695,0.029,0
"81","Residual.Variances A_05",0.666,0.034,0
"82","Residual.Variances A_06",0.842,0.046,0
"83","Residual.Variances B_01",0.243,0.056,0
"84","Residual.Variances B_02",0.171,0.032,0
"85","Residual.Variances B_03",0.235,0.041,0
"86","Residual.Variances B_04",0.236,0.029,0
"87","Residual.Variances B_05",0.31,0.067,0
"88","Residual.Variances B_06",0.361,0.046,0
