"","parameter","est","se","pval"
"1","IA.BY A_02",1,0,999
"2","IA.BY A_03",1,0,999
"3","IA.BY A_04",1,0,999
"4","IA.BY A_05",1,0,999
"5","IA.BY A_06",1,0,999
"6","SA.BY A_02",0,0,999
"7","SA.BY A_03",2,0,999
"8","SA.BY A_04",4,0,999
"9","SA.BY A_05",6,0,999
"10","SA.BY A_06",8,0,999
"11","IB.BY B_02",1,0,999
"12","IB.BY B_03",1,0,999
"13","IB.BY B_04",1,0,999
"14","IB.BY B_05",1,0,999
"15","IB.BY B_06",1,0,999
"16","A_02.ON A_01",-0.014,0.034,0.668
"17","A_02.ON B_01",0.031,0.027,0.244
"18","A_03.ON A_02",0.029,0.024,0.228
"19","A_03.ON B_02",0.094,0.024,0
"20","A_04.ON A_03",0.052,0.021,0.012
"21","A_04.ON B_03",0.118,0.024,0
"22","A_05.ON A_04",0.129,0.031,0
"23","A_05.ON B_04",0.128,0.026,0
"24","A_06.ON A_05",0.179,0.047,0
"25","A_06.ON B_05",0.16,0.029,0
"26","B_02.ON B_01",0.334,0.062,0
"27","B_02.ON A_01",0.062,0.009,0
"28","B_03.ON B_02",0.334,0.062,0
"29","B_03.ON A_02",0.051,0.009,0
"30","B_04.ON B_03",0.334,0.062,0
"31","B_04.ON A_03",0.045,0.009,0
"32","B_05.ON B_04",0.334,0.062,0
"33","B_05.ON A_04",0.034,0.01,0
"34","B_06.ON B_05",0.334,0.062,0
"35","B_06.ON A_05",0.026,0.01,0.007
"36","IA.WITH SA",0,0.005,0.951
"37","IA.WITH A_01",0.336,0.027,0
"38","IA.WITH IB",0.001,0.007,0.849
"39","SA.WITH A_01",-0.001,0.005,0.862
"40","IB.WITH B_01",0.192,0.024,0
"41","A_01.WITH B_01",-0.003,0.015,0.856
"42","Means A_01",8.517,0.011,0
"43","Means B_01",3.392,0.021,0
"44","Means IA",8.524,0.305,0
"45","Means SA",-0.324,0.07,0
"46","Means IB",1.743,0.231,0
"47","Intercepts A_02",0,0,999
"48","Intercepts A_03",0,0,999
"49","Intercepts A_04",0,0,999
"50","Intercepts A_05",0,0,999
"51","Intercepts A_06",0,0,999
"52","Intercepts B_02",0,0,999
"53","Intercepts B_03",0,0,999
"54","Intercepts B_04",0,0,999
"55","Intercepts B_05",0,0,999
"56","Intercepts B_06",0,0,999
"57","Variances A_01",0.632,0.024,0
"58","Variances B_01",0.579,0.03,0
"59","Variances IA",0.338,0.041,0
"60","Variances SA",0.008,0.001,0
"61","Variances IB",0.15,0.033,0
"62","Residual.Variances A_02",0.325,0.022,0
"63","Residual.Variances A_03",0.416,0.017,0
"64","Residual.Variances A_04",0.663,0.029,0
"65","Residual.Variances A_05",0.612,0.037,0
"66","Residual.Variances A_06",0.755,0.045,0
"67","Residual.Variances B_02",0.184,0.013,0
"68","Residual.Variances B_03",0.237,0.019,0
"69","Residual.Variances B_04",0.246,0.016,0
"70","Residual.Variances B_05",0.329,0.021,0
"71","Residual.Variances B_06",0.388,0.027,0
