"","parameter","est","se","pval"
"1","IA.BY A_02",1,0,999
"2","IA.BY A_03",1,0,999
"3","IA.BY A_04",1,0,999
"4","IA.BY A_05",1,0,999
"5","IA.BY A_06",1,0,999
"6","SA.BY A_02",0,0,999
"7","SA.BY A_03",2,0,999
"8","SA.BY A_04",4,0,999
"9","SA.BY A_05",6,0,999
"10","SA.BY A_06",8,0,999
"11","IB.BY B_02",1,0,999
"12","IB.BY B_03",1,0,999
"13","IB.BY B_04",1,0,999
"14","IB.BY B_05",1,0,999
"15","IB.BY B_06",1,0,999
"16","SB.BY B_02",0,0,999
"17","SB.BY B_03",2,0,999
"18","SB.BY B_04",4,0,999
"19","SB.BY B_05",6,0,999
"20","SB.BY B_06",8,0,999
"21","A_02.ON A_01",-0.024,0.034,0.479
"22","A_02.ON B_01",-0.006,0.041,0.879
"23","A_03.ON A_02",0.036,0.023,0.125
"24","A_03.ON B_02",-0.052,0.034,0.134
"25","A_04.ON A_03",0.062,0.021,0.003
"26","A_04.ON B_03",-0.115,0.039,0.003
"27","A_05.ON A_04",0.128,0.031,0
"28","A_05.ON B_04",-0.119,0.045,0.009
"29","A_06.ON A_05",0.172,0.045,0
"30","A_06.ON B_05",-0.121,0.061,0.045
"31","B_02.ON B_01",0.241,0.101,0.017
"32","B_02.ON A_01",-0.048,0.009,0
"33","B_03.ON B_02",0.241,0.101,0.017
"34","B_03.ON A_02",-0.041,0.007,0
"35","B_04.ON B_03",0.241,0.101,0.017
"36","B_04.ON A_03",-0.031,0.007,0
"37","B_05.ON B_04",0.241,0.101,0.017
"38","B_05.ON A_04",-0.019,0.008,0.019
"39","B_06.ON B_05",0.241,0.101,0.017
"40","B_06.ON A_05",-0.011,0.01,0.308
"41","IA.WITH SA",0.001,0.005,0.81
"42","IA.WITH A_01",0.34,0.028,0
"43","IA.WITH IB",-0.004,0.005,0.409
"44","SA.WITH A_01",-0.001,0.005,0.84
"45","SA.WITH SB",0,0,0.43
"46","IB.WITH B_01",0.085,0.021,0
"47","SB.WITH B_01",0,0.002,0.901
"48","Means A_01",8.517,0.011,0
"49","Means B_01",1.376,0.013,0
"50","Means IA",8.721,0.29,0
"51","Means SA",-0.258,0.071,0
"52","Means IB",1.518,0.149,0
"53","Means SB",-0.041,0.016,0.009
"54","Intercepts A_02",0,0,999
"55","Intercepts A_03",0,0,999
"56","Intercepts A_04",0,0,999
"57","Intercepts A_05",0,0,999
"58","Intercepts A_06",0,0,999
"59","Intercepts B_02",0,0,999
"60","Intercepts B_03",0,0,999
"61","Intercepts B_04",0,0,999
"62","Intercepts B_05",0,0,999
"63","Intercepts B_06",0,0,999
"64","Variances A_01",0.632,0.024,0
"65","Variances B_01",0.23,0.011,0
"66","Variances IA",0.338,0.042,0
"67","Variances SA",0.008,0.001,0
"68","Variances IB",0.08,0.023,0
"69","Variances SB",0,0,0.833
"70","Residual.Variances A_02",0.329,0.022,0
"71","Residual.Variances A_03",0.42,0.017,0
"72","Residual.Variances A_04",0.663,0.029,0
"73","Residual.Variances A_05",0.612,0.037,0
"74","Residual.Variances A_06",0.756,0.045,0
"75","Residual.Variances B_02",0.122,0.007,0
"76","Residual.Variances B_03",0.119,0.007,0
"77","Residual.Variances B_04",0.114,0.007,0
"78","Residual.Variances B_05",0.106,0.009,0
"79","Residual.Variances B_06",0.115,0.013,0
