"","parameter","est","se","pval"
"1","IA.BY A_02",1,0,999
"2","IA.BY A_03",1,0,999
"3","IA.BY A_04",1,0,999
"4","IA.BY A_05",1,0,999
"5","IA.BY A_06",1,0,999
"6","SA.BY A_02",0,0,999
"7","SA.BY A_03",2,0,999
"8","SA.BY A_04",4,0,999
"9","SA.BY A_05",6,0,999
"10","SA.BY A_06",8,0,999
"11","IB.BY B_02",1,0,999
"12","IB.BY B_03",1,0,999
"13","IB.BY B_04",1,0,999
"14","IB.BY B_05",1,0,999
"15","IB.BY B_06",1,0,999
"16","A_02.ON A_01",-0.005,0.014,0.721
"17","A_02.ON B_01",0.007,0.004,0.119
"18","A_03.ON A_02",-0.005,0.014,0.721
"19","A_03.ON B_02",0.013,0.004,0.001
"20","A_04.ON A_03",-0.005,0.014,0.721
"21","A_04.ON B_03",0.011,0.003,0.001
"22","A_05.ON A_04",-0.005,0.014,0.721
"23","A_05.ON B_04",0.015,0.003,0
"24","A_06.ON A_05",-0.005,0.014,0.721
"25","A_06.ON B_05",0.019,0.004,0
"26","B_02.ON B_01",0.258,0.058,0
"27","B_02.ON A_01",0.582,0.092,0
"28","B_03.ON B_02",0.316,0.065,0
"29","B_03.ON A_02",0.287,0.088,0.001
"30","B_04.ON B_03",0.301,0.063,0
"31","B_04.ON A_03",0.302,0.081,0
"32","B_05.ON B_04",0.283,0.068,0
"33","B_05.ON A_04",0.366,0.089,0
"34","B_06.ON B_05",0.261,0.069,0
"35","B_06.ON A_05",0.412,0.087,0
"36","IA.WITH SA",0.009,0.009,0.342
"37","IA.WITH A_01",1.69,0.062,0
"38","IA.WITH IB",0.361,0.195,0.064
"39","SA.WITH A_01",-0.015,0.007,0.029
"40","IB.WITH B_01",21.843,2.81,0
"41","A_01.WITH B_01",0.201,0.388,0.604
"42","Means A_01",4.373,0.025,0
"43","Means B_01",30.455,0.236,0
"44","Means IA",4.037,0.153,0
"45","Means SA",-0.156,0.016,0
"46","Means IB",19.043,1.942,0
"47","Intercepts A_02",0,0,999
"48","Intercepts A_03",0,0,999
"49","Intercepts A_04",0,0,999
"50","Intercepts A_05",0,0,999
"51","Intercepts A_06",0,0,999
"52","Intercepts B_02",0,0,999
"53","Intercepts B_03",0,0,999
"54","Intercepts B_04",0,0,999
"55","Intercepts B_05",0,0,999
"56","Intercepts B_06",0,0,999
"57","Variances A_01",3.4,0.068,0
"58","Variances B_01",69.178,2.983,0
"59","Variances IA",1.665,0.099,0
"60","Variances SA",0.007,0.002,0.001
"61","Variances IB",20.46,4.182,0
"62","Residual.Variances A_02",1.871,0.066,0
"63","Residual.Variances A_03",1.84,0.053,0
"64","Residual.Variances A_04",1.89,0.05,0
"65","Residual.Variances A_05",1.834,0.055,0
"66","Residual.Variances A_06",1.701,0.07,0
"67","Residual.Variances B_02",30.952,1.734,0
"68","Residual.Variances B_03",28.632,2.058,0
"69","Residual.Variances B_04",25.769,1.668,0
"70","Residual.Variances B_05",32.954,1.93,0
"71","Residual.Variances B_06",32.277,2.052,0
