"","parameter","est","se","pval"
"1","IA.BY A_02",1,0,999
"2","IA.BY A_03",1,0,999
"3","IA.BY A_04",1,0,999
"4","IA.BY A_05",1,0,999
"5","IA.BY A_06",1,0,999
"6","SA.BY A_02",0,0,999
"7","SA.BY A_03",2,0,999
"8","SA.BY A_04",4,0,999
"9","SA.BY A_05",6,0,999
"10","SA.BY A_06",8,0,999
"11","IB.BY B_02",1,0,999
"12","IB.BY B_03",1,0,999
"13","IB.BY B_04",1,0,999
"14","IB.BY B_05",1,0,999
"15","IB.BY B_06",1,0,999
"16","A_02.ON A_01",-0.016,0.013,0.217
"17","A_02.ON B_01",-0.124,0.056,0.027
"18","A_03.ON A_02",-0.016,0.013,0.217
"19","A_03.ON B_02",-0.084,0.047,0.074
"20","A_04.ON A_03",-0.016,0.013,0.217
"21","A_04.ON B_03",-0.186,0.045,0
"22","A_05.ON A_04",-0.016,0.013,0.217
"23","A_05.ON B_04",-0.181,0.047,0
"24","A_06.ON A_05",-0.016,0.013,0.217
"25","A_06.ON B_05",-0.177,0.052,0.001
"26","B_02.ON B_01",0.245,0.063,0
"27","B_02.ON A_01",-0.015,0.003,0
"28","B_03.ON B_02",0.245,0.063,0
"29","B_03.ON A_02",-0.018,0.004,0
"30","B_04.ON B_03",0.245,0.063,0
"31","B_04.ON A_03",-0.016,0.004,0
"32","B_05.ON B_04",0.245,0.063,0
"33","B_05.ON A_04",-0.013,0.004,0.001
"34","B_06.ON B_05",0.245,0.063,0
"35","B_06.ON A_05",-0.017,0.004,0
"36","IA.WITH SA",0.01,0.006,0.094
"37","IA.WITH A_01",1.101,0.039,0
"38","IA.WITH IB",0.003,0.009,0.765
"39","SA.WITH A_01",-0.002,0.005,0.682
"40","IB.WITH B_01",0.086,0.01,0
"41","A_01.WITH B_01",-0.013,0.018,0.459
"42","Means A_01",5.433,0.02,0
"43","Means B_01",1.38,0.013,0
"44","Means IA",5.56,0.102,0
"45","Means SA",-0.093,0.011,0
"46","Means IB",1.179,0.089,0
"47","Intercepts A_02",0,0,999
"48","Intercepts A_03",0,0,999
"49","Intercepts A_04",0,0,999
"50","Intercepts A_05",0,0,999
"51","Intercepts A_06",0,0,999
"52","Intercepts B_02",0,0,999
"53","Intercepts B_03",0,0,999
"54","Intercepts B_04",0,0,999
"55","Intercepts B_05",0,0,999
"56","Intercepts B_06",0,0,999
"57","Variances A_01",2.264,0.047,0
"58","Variances B_01",0.23,0.011,0
"59","Variances IA",1.124,0.063,0
"60","Variances SA",0.004,0.001,0.008
"61","Variances IB",0.079,0.015,0
"62","Residual.Variances A_02",1.253,0.046,0
"63","Residual.Variances A_03",1.267,0.034,0
"64","Residual.Variances A_04",1.43,0.044,0
"65","Residual.Variances A_05",1.32,0.047,0
"66","Residual.Variances A_06",1.327,0.053,0
"67","Residual.Variances B_02",0.122,0.006,0
"68","Residual.Variances B_03",0.119,0.007,0
"69","Residual.Variances B_04",0.115,0.007,0
"70","Residual.Variances B_05",0.107,0.007,0
"71","Residual.Variances B_06",0.117,0.007,0
