"","parameter","est","se","pval"
"1","IA.BY A_02","1.000",0,"999.000"
"2","IA.BY A_03","1.000",0,"999.000"
"3","IA.BY A_04","1.000",0,"999.000"
"4","IA.BY A_05","1.000",0,"999.000"
"5","IA.BY A_06","1.000",0,"999.000"
"6","SA.BY A_02","0.000",0,"999.000"
"7","SA.BY A_03","2.000",0,"999.000"
"8","SA.BY A_04","4.000",0,"999.000"
"9","SA.BY A_05","6.000",0,"999.000"
"10","SA.BY A_06","8.000",0,"999.000"
"11","IB.BY B_02","1.000",0,"999.000"
"12","IB.BY B_03","1.000",0,"999.000"
"13","IB.BY B_04","1.000",0,"999.000"
"14","IB.BY B_05","1.000",0,"999.000"
"15","IB.BY B_06","1.000",0,"999.000"
"16","IA.ON AGE","-0.075",0.008,"0.000"
"17","IA.ON EDUC","0.165",0.007,"0.000"
"18","IA.ON HEALTH","-0.084",0.019,"0.000"
"19","IA.ON SEX","0.624",0.041,"0.000"
"20","IA.ON COH","-0.032",0.07,"0.650"
"21","SA.ON AGE","-0.006",0.001,"0.000"
"22","SA.ON EDUC","0.001",0.001,"0.546"
"23","SA.ON HEALTH","0.003",0.003,"0.355"
"24","SA.ON SEX","-0.010",0.007,"0.129"
"25","SA.ON COH","-0.001",0.011,"0.898"
"26","IB.ON AGE","0.000",0.002,"0.833"
"27","IB.ON EDUC","-0.009",0.002,"0.000"
"28","IB.ON HEALTH","0.038",0.005,"0.000"
"29","IB.ON SEX","0.067",0.01,"0.000"
"30","IB.ON COH","-0.027",0.015,"0.078"
"31","A_02.ON A_01","-0.010",0.013,"0.465"
"32","A_02.ON B_01","-0.196",0.075,"0.009"
"33","A_03.ON A_02","-0.010",0.013,"0.465"
"34","A_03.ON B_02","-0.067",0.058,"0.251"
"35","A_04.ON A_03","-0.010",0.013,"0.465"
"36","A_04.ON B_03","-0.144",0.061,"0.018"
"37","A_05.ON A_04","-0.010",0.013,"0.465"
"38","A_05.ON B_04","-0.121",0.078,"0.118"
"39","A_06.ON A_05","-0.010",0.013,"0.465"
"40","A_06.ON B_05","-0.073",0.099,"0.461"
"41","B_02.ON B_01","0.250",0.068,"0.000"
"42","B_02.ON A_01","-0.011",0.004,"0.014"
"43","B_03.ON B_02","0.251",0.067,"0.000"
"44","B_03.ON A_02","-0.014",0.005,"0.004"
"45","B_04.ON B_03","0.234",0.065,"0.000"
"46","B_04.ON A_03","-0.008",0.005,"0.112"
"47","B_05.ON B_04","0.236",0.07,"0.001"
"48","B_05.ON A_04","-0.002",0.005,"0.695"
"49","B_06.ON B_05","0.243",0.067,"0.000"
"50","B_06.ON A_05","-0.009",0.005,"0.072"
"51","A_01.ON AGE","-0.055",0.009,"0.000"
"52","A_01.ON EDUC","0.179",0.007,"0.000"
"53","A_01.ON HEALTH","-0.078",0.021,"0.000"
"54","A_01.ON SEX","0.566",0.046,"0.000"
"55","A_01.ON COH","0.030",0.079,"0.702"
"56","B_01.ON AGE","-0.002",0.005,"0.637"
"57","B_01.ON EDUC","-0.023",0.004,"0.000"
"58","B_01.ON HEALTH","0.057",0.011,"0.000"
"59","B_01.ON SEX","0.106",0.024,"0.000"
"60","B_01.ON COH","-0.043",0.04,"0.284"
"61","IA.WITH SA","0.001",0.009,"0.901"
"62","IA.WITH A_01","1.211",0.052,"0.000"
"63","IA.WITH IB","0.007",0.011,"0.531"
"64","SA.WITH A_01","-0.021",0.007,"0.002"
"65","IB.WITH B_01","0.077",0.01,"0.000"
"66","IB.WITH SA","-0.002",0.002,"0.305"
"67","A_01.WITH B_01","-0.034",0.02,"0.100"
"68","Intercepts A_01","4.095",0.229,"0.000"
"69","Intercepts A_02","0.000",0,"999.000"
"70","Intercepts A_03","0.000",0,"999.000"
"71","Intercepts A_04","0.000",0,"999.000"
"72","Intercepts A_05","0.000",0,"999.000"
"73","Intercepts A_06","0.000",0,"999.000"
"74","Intercepts B_01","1.423",0.119,"0.000"
"75","Intercepts B_02","0.000",0,"999.000"
"76","Intercepts B_03","0.000",0,"999.000"
"77","Intercepts B_04","0.000",0,"999.000"
"78","Intercepts B_05","0.000",0,"999.000"
"79","Intercepts B_06","0.000",0,"999.000"
"80","Intercepts IA","4.439",0.236,"0.000"
"81","Intercepts SA","-0.109",0.041,"0.007"
"82","Intercepts IB","1.158",0.105,"0.000"
"83","Residual.Variances A_01","2.913",0.061,"0.000"
"84","Residual.Variances A_02","1.866",0.066,"0.000"
"85","Residual.Variances A_03","1.829",0.052,"0.000"
"86","Residual.Variances A_04","1.870",0.049,"0.000"
"87","Residual.Variances A_05","1.808",0.053,"0.000"
"88","Residual.Variances A_06","1.715",0.068,"0.000"
"89","Residual.Variances B_01","0.215",0.01,"0.000"
"90","Residual.Variances B_02","0.121",0.006,"0.000"
"91","Residual.Variances B_03","0.117",0.007,"0.000"
"92","Residual.Variances B_04","0.115",0.007,"0.000"
"93","Residual.Variances B_05","0.108",0.007,"0.000"
"94","Residual.Variances B_06","0.117",0.008,"0.000"
"95","Residual.Variances IA","1.171",0.083,"0.000"
"96","Residual.Variances SA","0.006",0.002,"0.003"
"97","Residual.Variances IB","0.076",0.015,"0.000"
