"","parameter","est","se","pval"
"1","IA.BY A_02","1.000",0,"999.000"
"2","IA.BY A_03","1.000",0,"999.000"
"3","IA.BY A_04","1.000",0,"999.000"
"4","IA.BY A_05","1.000",0,"999.000"
"5","IA.BY A_06","1.000",0,"999.000"
"6","SA.BY A_02","0.000",0,"999.000"
"7","SA.BY A_03","2.000",0,"999.000"
"8","SA.BY A_04","4.000",0,"999.000"
"9","SA.BY A_05","6.000",0,"999.000"
"10","SA.BY A_06","8.000",0,"999.000"
"11","IB.BY B_02","1.000",0,"999.000"
"12","IB.BY B_03","1.000",0,"999.000"
"13","IB.BY B_04","1.000",0,"999.000"
"14","IB.BY B_05","1.000",0,"999.000"
"15","IB.BY B_06","1.000",0,"999.000"
"16","IA.ON AGE","-0.074",0.008,"0.000"
"17","IA.ON EDUC","0.169",0.007,"0.000"
"18","IA.ON HEALTH","-0.092",0.018,"0.000"
"19","IA.ON SEX","0.609",0.041,"0.000"
"20","IA.ON COH","-0.024",0.07,"0.732"
"21","SA.ON AGE","-0.006",0.001,"0.000"
"22","SA.ON EDUC","0.000",0.001,"0.982"
"23","SA.ON HEALTH","0.003",0.003,"0.240"
"24","SA.ON SEX","-0.011",0.007,"0.110"
"25","SA.ON COH","-0.002",0.011,"0.829"
"26","IB.ON AGE","-0.200",0.056,"0.000"
"27","IB.ON EDUC","0.614",0.055,"0.000"
"28","IB.ON HEALTH","-0.191",0.119,"0.109"
"29","IB.ON SEX","3.311",0.31,"0.000"
"30","IB.ON COH","-0.262",0.46,"0.569"
"31","A_02.ON A_01","-0.010",0.013,"0.466"
"32","A_02.ON B_01","-0.001",0.004,"0.768"
"33","A_03.ON A_02","-0.010",0.013,"0.466"
"34","A_03.ON B_02","0.004",0.003,"0.202"
"35","A_04.ON A_03","-0.010",0.013,"0.466"
"36","A_04.ON B_03","0.001",0.003,"0.681"
"37","A_05.ON A_04","-0.010",0.013,"0.466"
"38","A_05.ON B_04","0.003",0.003,"0.321"
"39","A_06.ON A_05","-0.010",0.013,"0.466"
"40","A_06.ON B_05","0.006",0.004,"0.149"
"41","B_02.ON B_01","-0.371",0.053,"0.000"
"42","B_02.ON A_01","-0.022",0.11,"0.842"
"43","B_03.ON B_02","-0.398",0.066,"0.000"
"44","B_03.ON A_02","0.103",0.08,"0.196"
"45","B_04.ON B_03","-0.425",0.067,"0.000"
"46","B_04.ON A_03","0.199",0.074,"0.007"
"47","B_05.ON B_04","-0.453",0.067,"0.000"
"48","B_05.ON A_04","0.249",0.082,"0.002"
"49","B_06.ON B_05","-0.500",0.068,"0.000"
"50","B_06.ON A_05","0.381",0.089,"0.000"
"51","A_01.ON AGE","-0.056",0.009,"0.000"
"52","A_01.ON EDUC","0.179",0.007,"0.000"
"53","A_01.ON HEALTH","-0.078",0.021,"0.000"
"54","A_01.ON SEX","0.567",0.046,"0.000"
"55","A_01.ON COH","0.030",0.079,"0.703"
"56","B_01.ON AGE","-0.029",0.086,"0.734"
"57","B_01.ON EDUC","0.398",0.075,"0.000"
"58","B_01.ON HEALTH","0.065",0.18,"0.719"
"59","B_01.ON SEX","2.708",0.395,"0.000"
"60","B_01.ON COH","0.860",0.733,"0.241"
"61","IA.WITH SA","0.001",0.009,"0.945"
"62","IA.WITH A_01","1.210",0.052,"0.000"
"63","IA.WITH IB","0.742",0.268,"0.006"
"64","SA.WITH A_01","-0.021",0.007,"0.001"
"65","IB.WITH B_01","50.323",3.236,"0.000"
"66","IB.WITH SA","0.024",0.039,"0.536"
"67","A_01.WITH B_01","-0.369",0.377,"0.327"
"68","Intercepts A_01","4.095",0.229,"0.000"
"69","Intercepts A_02","0.000",0,"999.000"
"70","Intercepts A_03","0.000",0,"999.000"
"71","Intercepts A_04","0.000",0,"999.000"
"72","Intercepts A_05","0.000",0,"999.000"
"73","Intercepts A_06","0.000",0,"999.000"
"74","Intercepts B_01","26.448",2.143,"0.000"
"75","Intercepts B_02","0.000",0,"999.000"
"76","Intercepts B_03","0.000",0,"999.000"
"77","Intercepts B_04","0.000",0,"999.000"
"78","Intercepts B_05","0.000",0,"999.000"
"79","Intercepts B_06","0.000",0,"999.000"
"80","Intercepts IA","4.205",0.242,"0.000"
"81","Intercepts SA","-0.112",0.039,"0.004"
"82","Intercepts IB","40.068",2.283,"0.000"
"83","Residual.Variances A_01","2.916",0.062,"0.000"
"84","Residual.Variances A_02","1.867",0.066,"0.000"
"85","Residual.Variances A_03","1.833",0.052,"0.000"
"86","Residual.Variances A_04","1.875",0.049,"0.000"
"87","Residual.Variances A_05","1.812",0.053,"0.000"
"88","Residual.Variances A_06","1.706",0.068,"0.000"
"89","Residual.Variances B_01","67.523",3.157,"0.000"
"90","Residual.Variances B_02","24.158",1.915,"0.000"
"91","Residual.Variances B_03","32.734",2.125,"0.000"
"92","Residual.Variances B_04","29.890",1.651,"0.000"
"93","Residual.Variances B_05","32.801",1.836,"0.000"
"94","Residual.Variances B_06","30.902",2.338,"0.000"
"95","Residual.Variances IA","1.168",0.083,"0.000"
"96","Residual.Variances SA","0.006",0.002,"0.003"
"97","Residual.Variances IB","67.381",3.723,"0.000"
