"","parameter","est","se","pval"
"1","IA.BY A_02","1.000",0,"999.000"
"2","IA.BY A_03","1.000",0,"999.000"
"3","IA.BY A_04","1.000",0,"999.000"
"4","IA.BY A_05","1.000",0,"999.000"
"5","IA.BY A_06","1.000",0,"999.000"
"6","SA.BY A_02","0.000",0,"999.000"
"7","SA.BY A_03","2.000",0,"999.000"
"8","SA.BY A_04","4.000",0,"999.000"
"9","SA.BY A_05","6.000",0,"999.000"
"10","SA.BY A_06","8.000",0,"999.000"
"11","IB.BY B_02","1.000",0,"999.000"
"12","IB.BY B_03","1.000",0,"999.000"
"13","IB.BY B_04","1.000",0,"999.000"
"14","IB.BY B_05","1.000",0,"999.000"
"15","IB.BY B_06","1.000",0,"999.000"
"16","IA.ON AGE","-0.074",0.008,"0.000"
"17","IA.ON EDUC","0.168",0.007,"0.000"
"18","IA.ON HEALTH","-0.092",0.018,"0.000"
"19","IA.ON SEX","0.611",0.041,"0.000"
"20","IA.ON COH","-0.025",0.07,"0.717"
"21","SA.ON AGE","-0.006",0.001,"0.000"
"22","SA.ON EDUC","0.000",0.001,"0.937"
"23","SA.ON HEALTH","0.004",0.003,"0.222"
"24","SA.ON SEX","-0.006",0.007,"0.363"
"25","SA.ON COH","-0.003",0.011,"0.807"
"26","IB.ON AGE","-0.013",0.003,"0.000"
"27","IB.ON EDUC","0.021",0.003,"0.000"
"28","IB.ON HEALTH","-0.011",0.006,"0.077"
"29","IB.ON SEX","-0.196",0.022,"0.000"
"30","IB.ON COH","0.033",0.023,"0.143"
"31","A_02.ON A_01","-0.009",0.013,"0.526"
"32","A_02.ON B_01","-0.005",0.05,"0.928"
"33","A_03.ON A_02","-0.009",0.013,"0.526"
"34","A_03.ON B_02","0.056",0.04,"0.161"
"35","A_04.ON A_03","-0.009",0.013,"0.526"
"36","A_04.ON B_03","0.041",0.037,"0.262"
"37","A_05.ON A_04","-0.009",0.013,"0.526"
"38","A_05.ON B_04","0.072",0.042,"0.086"
"39","A_06.ON A_05","-0.009",0.013,"0.526"
"40","A_06.ON B_05","0.111",0.055,"0.043"
"41","B_02.ON B_01","0.315",0.065,"0.000"
"42","B_02.ON A_01","0.017",0.007,"0.012"
"43","B_03.ON B_02","0.315",0.066,"0.000"
"44","B_03.ON A_02","-0.004",0.008,"0.617"
"45","B_04.ON B_03","0.304",0.065,"0.000"
"46","B_04.ON A_03","-0.007",0.007,"0.316"
"47","B_05.ON B_04","0.236",0.07,"0.001"
"48","B_05.ON A_04","0.018",0.009,"0.031"
"49","B_06.ON B_05","0.210",0.074,"0.004"
"50","B_06.ON A_05","0.023",0.009,"0.012"
"51","A_01.ON AGE","-0.056",0.009,"0.000"
"52","A_01.ON EDUC","0.178",0.007,"0.000"
"53","A_01.ON HEALTH","-0.078",0.021,"0.000"
"54","A_01.ON SEX","0.566",0.046,"0.000"
"55","A_01.ON COH","0.030",0.079,"0.705"
"56","B_01.ON AGE","-0.012",0.007,"0.100"
"57","B_01.ON EDUC","0.020",0.007,"0.005"
"58","B_01.ON HEALTH","-0.009",0.017,"0.609"
"59","B_01.ON SEX","-0.182",0.039,"0.000"
"60","B_01.ON COH","0.030",0.064,"0.645"
"61","IA.WITH SA","0.001",0.009,"0.882"
"62","IA.WITH A_01","1.212",0.052,"0.000"
"63","IA.WITH IB","0.018",0.016,"0.260"
"64","SA.WITH A_01","-0.021",0.007,"0.002"
"65","IB.WITH B_01","0.175",0.026,"0.000"
"66","IB.WITH SA","-0.001",0.003,"0.650"
"67","A_01.WITH B_01","0.045",0.031,"0.155"
"68","Intercepts A_01","4.096",0.229,"0.000"
"69","Intercepts A_02","0.000",0,"999.000"
"70","Intercepts A_03","0.000",0,"999.000"
"71","Intercepts A_04","0.000",0,"999.000"
"72","Intercepts A_05","0.000",0,"999.000"
"73","Intercepts A_06","0.000",0,"999.000"
"74","Intercepts B_01","3.463",0.191,"0.000"
"75","Intercepts B_02","0.000",0,"999.000"
"76","Intercepts B_03","0.000",0,"999.000"
"77","Intercepts B_04","0.000",0,"999.000"
"78","Intercepts B_05","0.000",0,"999.000"
"79","Intercepts B_06","0.000",0,"999.000"
"80","Intercepts IA","4.180",0.274,"0.000"
"81","Intercepts SA","-0.134",0.045,"0.003"
"82","Intercepts IB","2.322",0.248,"0.000"
"83","Residual.Variances A_01","2.911",0.061,"0.000"
"84","Residual.Variances A_02","1.873",0.066,"0.000"
"85","Residual.Variances A_03","1.834",0.052,"0.000"
"86","Residual.Variances A_04","1.874",0.049,"0.000"
"87","Residual.Variances A_05","1.814",0.053,"0.000"
"88","Residual.Variances A_06","1.712",0.068,"0.000"
"89","Residual.Variances B_01","0.548",0.03,"0.000"
"90","Residual.Variances B_02","0.175",0.014,"0.000"
"91","Residual.Variances B_03","0.204",0.02,"0.000"
"92","Residual.Variances B_04","0.237",0.016,"0.000"
"93","Residual.Variances B_05","0.354",0.023,"0.000"
"94","Residual.Variances B_06","0.415",0.029,"0.000"
"95","Residual.Variances IA","1.170",0.083,"0.000"
"96","Residual.Variances SA","0.006",0.002,"0.004"
"97","Residual.Variances IB","0.156",0.032,"0.000"
