"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",0.012,0.016,0.445
"26","A_02.ON B_01",-0.001,0.003,0.671
"27","A_03.ON A_02",-0.019,0.013,0.13
"28","A_03.ON B_02",0.006,0.003,0.039
"29","A_04.ON A_03",-0.003,0.014,0.809
"30","A_04.ON B_03",-0.003,0.003,0.349
"31","A_05.ON A_04",-0.021,0.018,0.231
"32","A_05.ON B_04",-0.002,0.005,0.682
"33","A_06.ON A_05",-0.044,0.024,0.067
"34","A_06.ON B_05",0,0.006,0.964
"35","B_02.ON B_01",-0.097,0.024,0
"36","B_02.ON A_01",-0.098,0.098,0.316
"37","B_03.ON B_02",-0.199,0.048,0
"38","B_03.ON A_02",-0.028,0.091,0.759
"39","B_04.ON B_03",-0.303,0.07,0
"40","B_04.ON A_03",-0.017,0.092,0.856
"41","B_05.ON B_04",-0.428,0.09,0
"42","B_05.ON A_04",0.075,0.101,0.456
"43","B_06.ON B_05",-0.563,0.114,0
"44","B_06.ON A_05",0.135,0.146,0.357
"45","SA.WITH IA",-0.002,0.007,0.736
"46","IB.WITH IA",2.601,0.34,0
"47","IB.WITH SA",-0.024,0.037,0.523
"48","SB.WITH IA",0.142,0.054,0.009
"49","SB.WITH SA",0.018,0.007,0.007
"50","SB.WITH IB",2.139,0.659,0.001
"51","A_01.WITH B_01",-0.232,0.374,0.535
"52","B_02.WITH A_02",0.293,0.202,0.146
"53","B_03.WITH A_03",-0.571,0.223,0.011
"54","B_04.WITH A_04",0.166,0.193,0.388
"55","B_05.WITH A_05",-0.003,0.266,0.992
"56","B_06.WITH A_06",0.308,0.276,0.265
"57","Means IA",4.38,0.025,0
"58","Means SA",-0.092,0.017,0
"59","Means IB",30.276,0.229,0
"60","Means SB",1.32,0.313,0
"61","Intercepts A_01",0,0,999
"62","Intercepts A_02",0,0,999
"63","Intercepts A_03",0,0,999
"64","Intercepts A_04",0,0,999
"65","Intercepts A_05",0,0,999
"66","Intercepts A_06",0,0,999
"67","Intercepts B_01",0,0,999
"68","Intercepts B_02",0,0,999
"69","Intercepts B_03",0,0,999
"70","Intercepts B_04",0,0,999
"71","Intercepts B_05",0,0,999
"72","Intercepts B_06",0,0,999
"73","Variances IA",1.683,0.07,0
"74","Variances SA",0.009,0.001,0
"75","Variances IB",37.875,2.976,0
"76","Variances SB",0.15,0.113,0.183
"77","Residual.Variances A_01",1.691,0.061,0
"78","Residual.Variances A_02",1.836,0.051,0
"79","Residual.Variances A_03",1.834,0.049,0
"80","Residual.Variances A_04",1.873,0.051,0
"81","Residual.Variances A_05",1.778,0.061,0
"82","Residual.Variances A_06",1.66,0.061,0
"83","Residual.Variances B_01",34.586,3.493,0
"84","Residual.Variances B_02",27.248,1.9,0
"85","Residual.Variances B_03",32.381,2.071,0
"86","Residual.Variances B_04",29.416,1.935,0
"87","Residual.Variances B_05",31.191,2.179,0
"88","Residual.Variances B_06",28.245,2.192,0
