"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",-0.006,0.01,0.539
"26","A_02.ON B_01",0.001,0.002,0.542
"27","A_03.ON A_02",-0.006,0.01,0.539
"28","A_03.ON B_02",0.003,0.003,0.322
"29","A_04.ON A_03",-0.006,0.01,0.539
"30","A_04.ON B_03",-0.004,0.004,0.273
"31","A_05.ON A_04",-0.006,0.01,0.539
"32","A_05.ON B_04",-0.006,0.005,0.258
"33","A_06.ON A_05",-0.006,0.01,0.539
"34","A_06.ON B_05",-0.007,0.006,0.29
"35","B_02.ON B_01",0.004,0.014,0.758
"36","B_02.ON A_01",-0.039,0.066,0.559
"37","B_03.ON B_02",0.004,0.014,0.758
"38","B_03.ON A_02",-0.039,0.066,0.559
"39","B_04.ON B_03",0.004,0.014,0.758
"40","B_04.ON A_03",-0.039,0.066,0.559
"41","B_05.ON B_04",0.004,0.014,0.758
"42","B_05.ON A_04",-0.039,0.066,0.559
"43","B_06.ON B_05",0.004,0.014,0.758
"44","B_06.ON A_05",-0.039,0.066,0.559
"45","SA.WITH IA",-0.008,0.006,0.207
"46","IB.WITH IA",2.525,0.281,0
"47","IB.WITH SA",0.002,0.033,0.96
"48","SB.WITH IA",0.018,0.033,0.584
"49","SB.WITH SA",0.016,0.005,0.001
"50","SB.WITH IB",-0.009,0.297,0.975
"51","A_01.WITH B_01",-0.089,0.364,0.807
"52","Means IA",4.381,0.025,0
"53","Means SA",-0.085,0.019,0
"54","Means IB",30.285,0.24,0
"55","Means SB",-0.213,0.021,0
"56","Intercepts A_01",0,0,999
"57","Intercepts A_02",0,0,999
"58","Intercepts A_03",0,0,999
"59","Intercepts A_04",0,0,999
"60","Intercepts A_05",0,0,999
"61","Intercepts A_06",0,0,999
"62","Intercepts B_01",0,0,999
"63","Intercepts B_02",0,0,999
"64","Intercepts B_03",0,0,999
"65","Intercepts B_04",0,0,999
"66","Intercepts B_05",0,0,999
"67","Intercepts B_06",0,0,999
"68","Variances IA",1.725,0.064,0
"69","Variances SA",0.008,0.001,0
"70","Variances IB",38.652,2.48,0
"71","Variances SB",0.151,0.054,0.005
"72","Residual.Variances A_01",1.668,0.057,0
"73","Residual.Variances A_02",1.837,0.05,0
"74","Residual.Variances A_03",1.834,0.048,0
"75","Residual.Variances A_04",1.889,0.049,0
"76","Residual.Variances A_05",1.829,0.053,0
"77","Residual.Variances A_06",1.687,0.062,0
"78","Residual.Variances B_01",35.297,3.186,0
"79","Residual.Variances B_02",28.06,1.82,0
"80","Residual.Variances B_03",31.729,1.661,0
"81","Residual.Variances B_04",27.843,1.38,0
"82","Residual.Variances B_05",28.216,1.998,0
"83","Residual.Variances B_06",27.762,2.464,0
