"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",0.015,0.016,0.355
"26","A_02.ON B_01",-0.016,0.024,0.498
"27","A_03.ON A_02",-0.02,0.013,0.109
"28","A_03.ON B_02",0.044,0.029,0.129
"29","A_04.ON A_03",-0.006,0.014,0.67
"30","A_04.ON B_03",-0.036,0.038,0.352
"31","A_05.ON A_04",-0.022,0.018,0.209
"32","A_05.ON B_04",-0.031,0.051,0.544
"33","A_06.ON A_05",-0.043,0.024,0.069
"34","A_06.ON B_05",-0.019,0.067,0.779
"35","B_02.ON B_01",-0.039,0.039,0.319
"36","B_02.ON A_01",0.004,0.009,0.687
"37","B_03.ON B_02",-0.099,0.084,0.24
"38","B_03.ON A_02",-0.002,0.008,0.792
"39","B_04.ON B_03",-0.144,0.125,0.249
"40","B_04.ON A_03",-0.019,0.008,0.016
"41","B_05.ON B_04",-0.258,0.169,0.126
"42","B_05.ON A_04",0.002,0.01,0.814
"43","B_06.ON B_05",-0.369,0.225,0.101
"44","B_06.ON A_05",0.019,0.013,0.167
"45","SA.WITH IA",-0.002,0.007,0.813
"46","IB.WITH IA",0.102,0.031,0.001
"47","IB.WITH SA",0.008,0.003,0.009
"48","SB.WITH IA",0.006,0.005,0.166
"49","SB.WITH SA",0.001,0.001,0.389
"50","SB.WITH IB",0.002,0.008,0.826
"51","A_01.WITH B_01",0.044,0.034,0.205
"52","B_02.WITH A_02",0.055,0.018,0.002
"53","B_03.WITH A_03",-0.041,0.02,0.039
"54","B_04.WITH A_04",0.02,0.018,0.272
"55","B_05.WITH A_05",0.018,0.026,0.48
"56","B_06.WITH A_06",-0.011,0.028,0.71
"57","Means IA",4.379,0.025,0
"58","Means SA",-0.086,0.022,0
"59","Means IB",3.386,0.02,0
"60","Means SB",0.067,0.069,0.334
"61","Intercepts A_01",0,0,999
"62","Intercepts A_02",0,0,999
"63","Intercepts A_03",0,0,999
"64","Intercepts A_04",0,0,999
"65","Intercepts A_05",0,0,999
"66","Intercepts A_06",0,0,999
"67","Intercepts B_01",0,0,999
"68","Intercepts B_02",0,0,999
"69","Intercepts B_03",0,0,999
"70","Intercepts B_04",0,0,999
"71","Intercepts B_05",0,0,999
"72","Intercepts B_06",0,0,999
"73","Variances IA",1.679,0.071,0
"74","Variances SA",0.009,0.001,0
"75","Variances IB",0.381,0.025,0
"76","Variances SB",0.003,0.001,0
"77","Residual.Variances A_01",1.699,0.061,0
"78","Residual.Variances A_02",1.836,0.051,0
"79","Residual.Variances A_03",1.833,0.049,0
"80","Residual.Variances A_04",1.868,0.051,0
"81","Residual.Variances A_05",1.776,0.061,0
"82","Residual.Variances A_06",1.666,0.062,0
"83","Residual.Variances B_01",0.212,0.032,0
"84","Residual.Variances B_02",0.15,0.016,0
"85","Residual.Variances B_03",0.228,0.02,0
"86","Residual.Variances B_04",0.25,0.019,0
"87","Residual.Variances B_05",0.313,0.025,0
"88","Residual.Variances B_06",0.358,0.029,0
