"","parameter","est","se","pval"
"1","IA.BY A_02",1,0,999
"2","IA.BY A_03",1,0,999
"3","IA.BY A_04",1,0,999
"4","IA.BY A_05",1,0,999
"5","IA.BY A_06",1,0,999
"6","SA.BY A_02",0,0,999
"7","SA.BY A_03",2,0,999
"8","SA.BY A_04",4,0,999
"9","SA.BY A_05",6,0,999
"10","SA.BY A_06",8,0,999
"11","IB.BY B_02",1,0,999
"12","IB.BY B_03",1,0,999
"13","IB.BY B_04",1,0,999
"14","IB.BY B_05",1,0,999
"15","IB.BY B_06",1,0,999
"16","A_02.ON A_01",-0.01,0.013,0.446
"17","A_02.ON B_01",0.043,0.021,0.038
"18","A_03.ON A_02",-0.01,0.013,0.446
"19","A_03.ON B_02",0.046,0.018,0.013
"20","A_04.ON A_03",-0.01,0.013,0.446
"21","A_04.ON B_03",0.02,0.017,0.228
"22","A_05.ON A_04",-0.01,0.013,0.446
"23","A_05.ON B_04",0.011,0.017,0.511
"24","A_06.ON A_05",-0.01,0.013,0.446
"25","A_06.ON B_05",0.004,0.019,0.814
"26","B_02.ON B_01",0.287,0.059,0
"27","B_02.ON A_01",-0.002,0.009,0.819
"28","B_03.ON B_02",0.287,0.059,0
"29","B_03.ON A_02",0.01,0.01,0.306
"30","B_04.ON B_03",0.287,0.059,0
"31","B_04.ON A_03",0.016,0.01,0.114
"32","B_05.ON B_04",0.287,0.059,0
"33","B_05.ON A_04",0.021,0.011,0.053
"34","B_06.ON B_05",0.287,0.059,0
"35","B_06.ON A_05",0.008,0.011,0.455
"36","IA.WITH SA",0.011,0.009,0.205
"37","IA.WITH A_01",1.735,0.061,0
"38","IA.WITH IB",-0.04,0.03,0.186
"39","SA.WITH A_01",-0.013,0.007,0.059
"40","IB.WITH B_01",0.913,0.107,0
"41","A_01.WITH B_01",0.006,0.061,0.92
"42","Means A_01",4.374,0.025,0
"43","Means B_01",9.781,0.039,0
"44","Means IA",3.846,0.21,0
"45","Means SA",-0.068,0.026,0.009
"46","Means IB",6.769,0.564,0
"47","Intercepts A_02",0,0,999
"48","Intercepts A_03",0,0,999
"49","Intercepts A_04",0,0,999
"50","Intercepts A_05",0,0,999
"51","Intercepts A_06",0,0,999
"52","Intercepts B_02",0,0,999
"53","Intercepts B_03",0,0,999
"54","Intercepts B_04",0,0,999
"55","Intercepts B_05",0,0,999
"56","Intercepts B_06",0,0,999
"57","Variances A_01",3.404,0.068,0
"58","Variances B_01",2.349,0.094,0
"59","Variances IA",1.729,0.099,0
"60","Variances SA",0.007,0.002,0.001
"61","Variances IB",0.716,0.134,0
"62","Residual.Variances A_02",1.857,0.066,0
"63","Residual.Variances A_03",1.833,0.052,0
"64","Residual.Variances A_04",1.881,0.05,0
"65","Residual.Variances A_05",1.826,0.055,0
"66","Residual.Variances A_06",1.704,0.069,0
"67","Residual.Variances B_02",0.934,0.048,0
"68","Residual.Variances B_03",1.01,0.061,0
"69","Residual.Variances B_04",1.006,0.06,0
"70","Residual.Variances B_05",1.05,0.063,0
"71","Residual.Variances B_06",1.122,0.068,0
