"","parameter","est","se","pval"
"1","IA.BY A_02","1.000",0,"999.000"
"2","IA.BY A_03","1.000",0,"999.000"
"3","IA.BY A_04","1.000",0,"999.000"
"4","IA.BY A_05","1.000",0,"999.000"
"5","IA.BY A_06","1.000",0,"999.000"
"6","SA.BY A_02","0.000",0,"999.000"
"7","SA.BY A_03","2.000",0,"999.000"
"8","SA.BY A_04","4.000",0,"999.000"
"9","SA.BY A_05","6.000",0,"999.000"
"10","SA.BY A_06","8.000",0,"999.000"
"11","IB.BY B_02","1.000",0,"999.000"
"12","IB.BY B_03","1.000",0,"999.000"
"13","IB.BY B_04","1.000",0,"999.000"
"14","IB.BY B_05","1.000",0,"999.000"
"15","IB.BY B_06","1.000",0,"999.000"
"16","IA.ON AGE","-0.075",0.008,"0.000"
"17","IA.ON EDUC","0.169",0.007,"0.000"
"18","IA.ON HEALTH","-0.089",0.018,"0.000"
"19","IA.ON SEX","0.597",0.04,"0.000"
"20","IA.ON COH","-0.029",0.07,"0.676"
"21","SA.ON AGE","-0.006",0.001,"0.000"
"22","SA.ON EDUC","0.000",0.001,"0.754"
"23","SA.ON HEALTH","0.003",0.003,"0.296"
"24","SA.ON SEX","-0.008",0.007,"0.204"
"25","SA.ON COH","-0.001",0.011,"0.913"
"26","IB.ON AGE","0.005",0.006,"0.346"
"27","IB.ON EDUC","-0.011",0.005,"0.033"
"28","IB.ON HEALTH","-0.031",0.013,"0.016"
"29","IB.ON SEX","0.203",0.034,"0.000"
"30","IB.ON COH","-0.029",0.046,"0.537"
"31","A_02.ON A_01","-0.009",0.013,"0.487"
"32","A_02.ON B_01","0.030",0.022,"0.182"
"33","A_03.ON A_02","-0.009",0.013,"0.487"
"34","A_03.ON B_02","0.041",0.018,"0.027"
"35","A_04.ON A_03","-0.009",0.013,"0.487"
"36","A_04.ON B_03","0.024",0.019,"0.209"
"37","A_05.ON A_04","-0.009",0.013,"0.487"
"38","A_05.ON B_04","0.021",0.024,"0.369"
"39","A_06.ON A_05","-0.009",0.013,"0.487"
"40","A_06.ON B_05","0.021",0.031,"0.493"
"41","B_02.ON B_01","0.292",0.06,"0.000"
"42","B_02.ON A_01","-0.002",0.014,"0.897"
"43","B_03.ON B_02","0.290",0.061,"0.000"
"44","B_03.ON A_02","0.016",0.016,"0.312"
"45","B_04.ON B_03","0.289",0.061,"0.000"
"46","B_04.ON A_03","0.022",0.015,"0.144"
"47","B_05.ON B_04","0.296",0.062,"0.000"
"48","B_05.ON A_04","0.017",0.017,"0.317"
"49","B_06.ON B_05","0.296",0.061,"0.000"
"50","B_06.ON A_05","0.001",0.017,"0.934"
"51","A_01.ON AGE","-0.056",0.009,"0.000"
"52","A_01.ON EDUC","0.179",0.007,"0.000"
"53","A_01.ON HEALTH","-0.078",0.021,"0.000"
"54","A_01.ON SEX","0.567",0.046,"0.000"
"55","A_01.ON COH","0.030",0.079,"0.705"
"56","B_01.ON AGE","0.035",0.015,"0.020"
"57","B_01.ON EDUC","0.010",0.013,"0.434"
"58","B_01.ON HEALTH","-0.099",0.033,"0.003"
"59","B_01.ON SEX","0.352",0.072,"0.000"
"60","B_01.ON COH","0.148",0.127,"0.244"
"61","IA.WITH SA","0.001",0.009,"0.875"
"62","IA.WITH A_01","1.219",0.052,"0.000"
"63","IA.WITH IB","-0.025",0.032,"0.425"
"64","SA.WITH A_01","-0.021",0.007,"0.002"
"65","IB.WITH B_01","0.885",0.108,"0.000"
"66","IB.WITH SA","-0.002",0.006,"0.793"
"67","A_01.WITH B_01","-0.025",0.06,"0.681"
"68","Intercepts A_01","4.096",0.229,"0.000"
"69","Intercepts A_02","0.000",0,"999.000"
"70","Intercepts A_03","0.000",0,"999.000"
"71","Intercepts A_04","0.000",0,"999.000"
"72","Intercepts A_05","0.000",0,"999.000"
"73","Intercepts A_06","0.000",0,"999.000"
"74","Intercepts B_01","9.123",0.374,"0.000"
"75","Intercepts B_02","0.000",0,"999.000"
"76","Intercepts B_03","0.000",0,"999.000"
"77","Intercepts B_04","0.000",0,"999.000"
"78","Intercepts B_05","0.000",0,"999.000"
"79","Intercepts B_06","0.000",0,"999.000"
"80","Intercepts IA","3.893",0.292,"0.000"
"81","Intercepts SA","-0.080",0.056,"0.152"
"82","Intercepts IB","6.668",0.583,"0.000"
"83","Residual.Variances A_01","2.914",0.062,"0.000"
"84","Residual.Variances A_02","1.868",0.066,"0.000"
"85","Residual.Variances A_03","1.833",0.052,"0.000"
"86","Residual.Variances A_04","1.872",0.049,"0.000"
"87","Residual.Variances A_05","1.813",0.054,"0.000"
"88","Residual.Variances A_06","1.711",0.068,"0.000"
"89","Residual.Variances B_01","2.305",0.093,"0.000"
"90","Residual.Variances B_02","0.930",0.05,"0.000"
"91","Residual.Variances B_03","1.016",0.065,"0.000"
"92","Residual.Variances B_04","1.016",0.062,"0.000"
"93","Residual.Variances B_05","1.043",0.065,"0.000"
"94","Residual.Variances B_06","1.113",0.072,"0.000"
"95","Residual.Variances IA","1.175",0.083,"0.000"
"96","Residual.Variances SA","0.006",0.002,"0.003"
"97","Residual.Variances IB","0.688",0.136,"0.000"
