"","parameter","est","se","pval"
"1","IA.BY A_02","1.000",0,"999.000"
"2","IA.BY A_03","1.000",0,"999.000"
"3","IA.BY A_04","1.000",0,"999.000"
"4","IA.BY A_05","1.000",0,"999.000"
"5","IA.BY A_06","1.000",0,"999.000"
"6","SA.BY A_02","0.000",0,"999.000"
"7","SA.BY A_03","2.000",0,"999.000"
"8","SA.BY A_04","4.000",0,"999.000"
"9","SA.BY A_05","6.000",0,"999.000"
"10","SA.BY A_06","8.000",0,"999.000"
"11","IB.BY B_02","1.000",0,"999.000"
"12","IB.BY B_03","1.000",0,"999.000"
"13","IB.BY B_04","1.000",0,"999.000"
"14","IB.BY B_05","1.000",0,"999.000"
"15","IB.BY B_06","1.000",0,"999.000"
"16","IA.ON AGE","-0.049",0.007,"0.000"
"17","IA.ON EDUC","0.158",0.006,"0.000"
"18","IA.ON HEALTH","-0.065",0.015,"0.000"
"19","IA.ON SEX","0.605",0.034,"0.000"
"20","IA.ON COH","0.018",0.055,"0.739"
"21","SA.ON AGE","-0.006",0.001,"0.000"
"22","SA.ON EDUC","0.000",0.001,"0.981"
"23","SA.ON HEALTH","0.000",0.003,"0.913"
"24","SA.ON SEX","-0.004",0.006,"0.430"
"25","SA.ON COH","-0.004",0.009,"0.651"
"26","IB.ON AGE","0.000",0.002,"0.852"
"27","IB.ON EDUC","-0.008",0.002,"0.000"
"28","IB.ON HEALTH","0.037",0.005,"0.000"
"29","IB.ON SEX","0.069",0.01,"0.000"
"30","IB.ON COH","-0.027",0.015,"0.078"
"31","A_02.ON A_01","-0.016",0.013,"0.196"
"32","A_02.ON B_01","-0.081",0.058,"0.161"
"33","A_03.ON A_02","-0.016",0.013,"0.196"
"34","A_03.ON B_02","-0.051",0.045,"0.249"
"35","A_04.ON A_03","-0.016",0.013,"0.196"
"36","A_04.ON B_03","-0.164",0.048,"0.001"
"37","A_05.ON A_04","-0.016",0.013,"0.196"
"38","A_05.ON B_04","-0.178",0.063,"0.005"
"39","A_06.ON A_05","-0.016",0.013,"0.196"
"40","A_06.ON B_05","-0.191",0.083,"0.022"
"41","B_02.ON B_01","0.251",0.065,"0.000"
"42","B_02.ON A_01","-0.012",0.004,"0.001"
"43","B_03.ON B_02","0.251",0.065,"0.000"
"44","B_03.ON A_02","-0.015",0.004,"0.000"
"45","B_04.ON B_03","0.251",0.065,"0.000"
"46","B_04.ON A_03","-0.013",0.004,"0.001"
"47","B_05.ON B_04","0.251",0.065,"0.000"
"48","B_05.ON A_04","-0.010",0.004,"0.024"
"49","B_06.ON B_05","0.251",0.065,"0.000"
"50","B_06.ON A_05","-0.013",0.004,"0.003"
"51","A_01.ON AGE","-0.039",0.007,"0.000"
"52","A_01.ON EDUC","0.169",0.006,"0.000"
"53","A_01.ON HEALTH","-0.056",0.016,"0.001"
"54","A_01.ON SEX","0.523",0.037,"0.000"
"55","A_01.ON COH","0.058",0.063,"0.363"
"56","B_01.ON AGE","-0.002",0.005,"0.628"
"57","B_01.ON EDUC","-0.024",0.004,"0.000"
"58","B_01.ON HEALTH","0.057",0.011,"0.000"
"59","B_01.ON SEX","0.103",0.024,"0.000"
"60","B_01.ON COH","-0.043",0.04,"0.283"
"61","IA.WITH SA","0.003",0.006,"0.607"
"62","IA.WITH A_01","0.700",0.032,"0.000"
"63","IA.WITH IB","-0.003",0.008,"0.725"
"64","SA.WITH A_01","-0.008",0.004,"0.081"
"65","IB.WITH B_01","0.077",0.01,"0.000"
"66","IB.WITH SA","0.002",0.002,"0.380"
"67","A_01.WITH B_01","-0.003",0.017,"0.883"
"68","Intercepts A_01","5.056",0.183,"0.000"
"69","Intercepts A_02","0.000",0,"999.000"
"70","Intercepts A_03","0.000",0,"999.000"
"71","Intercepts A_04","0.000",0,"999.000"
"72","Intercepts A_05","0.000",0,"999.000"
"73","Intercepts A_06","0.000",0,"999.000"
"74","Intercepts B_01","1.428",0.12,"0.000"
"75","Intercepts B_02","0.000",0,"999.000"
"76","Intercepts B_03","0.000",0,"999.000"
"77","Intercepts B_04","0.000",0,"999.000"
"78","Intercepts B_05","0.000",0,"999.000"
"79","Intercepts B_06","0.000",0,"999.000"
"80","Intercepts IA","5.217",0.191,"0.000"
"81","Intercepts SA","-0.055",0.033,"0.099"
"82","Intercepts IB","1.172",0.104,"0.000"
"83","Residual.Variances A_01","1.869",0.042,"0.000"
"84","Residual.Variances A_02","1.254",0.046,"0.000"
"85","Residual.Variances A_03","1.262",0.034,"0.000"
"86","Residual.Variances A_04","1.425",0.043,"0.000"
"87","Residual.Variances A_05","1.322",0.047,"0.000"
"88","Residual.Variances A_06","1.321",0.052,"0.000"
"89","Residual.Variances B_01","0.216",0.01,"0.000"
"90","Residual.Variances B_02","0.122",0.006,"0.000"
"91","Residual.Variances B_03","0.121",0.007,"0.000"
"92","Residual.Variances B_04","0.114",0.007,"0.000"
"93","Residual.Variances B_05","0.106",0.007,"0.000"
"94","Residual.Variances B_06","0.117",0.007,"0.000"
"95","Residual.Variances IA","0.714",0.051,"0.000"
"96","Residual.Variances SA","0.003",0.001,"0.026"
"97","Residual.Variances IB","0.074",0.015,"0.000"
