"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",-0.011,0.008,0.194
"26","A_02.ON B_01",0.064,0.03,0.035
"27","A_03.ON A_02",-0.011,0.008,0.194
"28","A_03.ON B_02",0.081,0.038,0.034
"29","A_04.ON A_03",-0.011,0.008,0.194
"30","A_04.ON B_03",-0.035,0.053,0.509
"31","A_05.ON A_04",-0.011,0.008,0.194
"32","A_05.ON B_04",-0.044,0.07,0.529
"33","A_06.ON A_05",-0.011,0.008,0.194
"34","A_06.ON B_05",-0.056,0.089,0.527
"35","B_02.ON B_01",0.045,0.023,0.047
"36","B_02.ON A_01",-0.003,0.004,0.54
"37","B_03.ON B_02",0.045,0.023,0.047
"38","B_03.ON A_02",-0.003,0.004,0.54
"39","B_04.ON B_03",0.045,0.023,0.047
"40","B_04.ON A_03",-0.003,0.004,0.54
"41","B_05.ON B_04",0.045,0.023,0.047
"42","B_05.ON A_04",-0.003,0.004,0.54
"43","B_06.ON B_05",0.045,0.023,0.047
"44","B_06.ON A_05",-0.003,0.004,0.54
"45","SA.WITH IA",0.001,0.004,0.726
"46","IB.WITH IA",-0.077,0.014,0
"47","IB.WITH SA",0,0.002,0.832
"48","SB.WITH IA",0.002,0.002,0.212
"49","SB.WITH SA",0,0,0.704
"50","SB.WITH IB",-0.002,0.001,0.066
"51","A_01.WITH B_01",0.014,0.018,0.435
"52","Means IA",5.436,0.02,0
"53","Means SA",-0.082,0.014,0
"54","Means IB",1.38,0.014,0
"55","Means SB",0.003,0.001,0.032
"56","Intercepts A_01",0,0,999
"57","Intercepts A_02",0,0,999
"58","Intercepts A_03",0,0,999
"59","Intercepts A_04",0,0,999
"60","Intercepts A_05",0,0,999
"61","Intercepts A_06",0,0,999
"62","Intercepts B_01",0,0,999
"63","Intercepts B_02",0,0,999
"64","Intercepts B_03",0,0,999
"65","Intercepts B_04",0,0,999
"66","Intercepts B_05",0,0,999
"67","Intercepts B_06",0,0,999
"68","Variances IA",1.098,0.041,0
"69","Variances SA",0.004,0.001,0
"70","Variances IB",0.137,0.011,0
"71","Variances SB",0.001,0,0.005
"72","Residual.Variances A_01",1.18,0.04,0
"73","Residual.Variances A_02",1.25,0.035,0
"74","Residual.Variances A_03",1.271,0.033,0
"75","Residual.Variances A_04",1.436,0.043,0
"76","Residual.Variances A_05",1.324,0.046,0
"77","Residual.Variances A_06",1.323,0.048,0
"78","Residual.Variances B_01",0.104,0.011,0
"79","Residual.Variances B_02",0.112,0.007,0
"80","Residual.Variances B_03",0.122,0.007,0
"81","Residual.Variances B_04",0.118,0.007,0
"82","Residual.Variances B_05",0.097,0.008,0
"83","Residual.Variances B_06",0.099,0.011,0
