"","parameter","est","se","pval"
"1","IA.BY A_02","1.000",0,"999.000"
"2","IA.BY A_03","1.000",0,"999.000"
"3","IA.BY A_04","1.000",0,"999.000"
"4","IA.BY A_05","1.000",0,"999.000"
"5","IA.BY A_06","1.000",0,"999.000"
"6","SA.BY A_02","0.000",0,"999.000"
"7","SA.BY A_03","2.000",0,"999.000"
"8","SA.BY A_04","4.000",0,"999.000"
"9","SA.BY A_05","6.000",0,"999.000"
"10","SA.BY A_06","8.000",0,"999.000"
"11","IB.BY B_02","1.000",0,"999.000"
"12","IB.BY B_03","1.000",0,"999.000"
"13","IB.BY B_04","1.000",0,"999.000"
"14","IB.BY B_05","1.000",0,"999.000"
"15","IB.BY B_06","1.000",0,"999.000"
"16","IA.ON AGE","-0.048",0.007,"0.000"
"17","IA.ON EDUC","0.158",0.006,"0.000"
"18","IA.ON HEALTH","-0.068",0.014,"0.000"
"19","IA.ON SEX","0.593",0.034,"0.000"
"20","IA.ON COH","0.021",0.055,"0.709"
"21","SA.ON AGE","-0.006",0.001,"0.000"
"22","SA.ON EDUC","0.000",0.001,"0.781"
"23","SA.ON HEALTH","-0.001",0.002,"0.798"
"24","SA.ON SEX","-0.005",0.006,"0.349"
"25","SA.ON COH","-0.004",0.009,"0.677"
"26","IB.ON AGE","-0.209",0.056,"0.000"
"27","IB.ON EDUC","0.622",0.055,"0.000"
"28","IB.ON HEALTH","-0.202",0.12,"0.094"
"29","IB.ON SEX","3.346",0.309,"0.000"
"30","IB.ON COH","-0.306",0.464,"0.510"
"31","A_02.ON A_01","-0.018",0.013,"0.157"
"32","A_02.ON B_01","0.002",0.003,"0.488"
"33","A_03.ON A_02","-0.018",0.013,"0.157"
"34","A_03.ON B_02","0.004",0.003,"0.087"
"35","A_04.ON A_03","-0.018",0.013,"0.157"
"36","A_04.ON B_03","0.000",0.002,"0.901"
"37","A_05.ON A_04","-0.018",0.013,"0.157"
"38","A_05.ON B_04","0.001",0.002,"0.693"
"39","A_06.ON A_05","-0.018",0.013,"0.157"
"40","A_06.ON B_05","0.001",0.003,"0.722"
"41","B_02.ON B_01","-0.368",0.043,"0.000"
"42","B_02.ON A_01","-0.068",0.143,"0.632"
"43","B_03.ON B_02","-0.413",0.062,"0.000"
"44","B_03.ON A_02","0.127",0.095,"0.184"
"45","B_04.ON B_03","-0.447",0.063,"0.000"
"46","B_04.ON A_03","0.250",0.086,"0.004"
"47","B_05.ON B_04","-0.466",0.064,"0.000"
"48","B_05.ON A_04","0.237",0.092,"0.010"
"49","B_06.ON B_05","-0.522",0.066,"0.000"
"50","B_06.ON A_05","0.396",0.108,"0.000"
"51","A_01.ON AGE","-0.039",0.007,"0.000"
"52","A_01.ON EDUC","0.168",0.006,"0.000"
"53","A_01.ON HEALTH","-0.056",0.016,"0.001"
"54","A_01.ON SEX","0.524",0.037,"0.000"
"55","A_01.ON COH","0.057",0.063,"0.365"
"56","B_01.ON AGE","-0.042",0.086,"0.630"
"57","B_01.ON EDUC","0.399",0.075,"0.000"
"58","B_01.ON HEALTH","0.036",0.182,"0.845"
"59","B_01.ON SEX","2.699",0.393,"0.000"
"60","B_01.ON COH","0.760",0.736,"0.302"
"61","IA.WITH SA","0.003",0.006,"0.576"
"62","IA.WITH A_01","0.697",0.031,"0.000"
"63","IA.WITH IB","0.605",0.207,"0.004"
"64","SA.WITH A_01","-0.008",0.004,"0.081"
"65","IB.WITH B_01","51.274",3.151,"0.000"
"66","IB.WITH SA","0.046",0.032,"0.148"
"67","A_01.WITH B_01","-0.855",0.323,"0.008"
"68","Intercepts A_01","5.057",0.183,"0.000"
"69","Intercepts A_02","0.000",0,"999.000"
"70","Intercepts A_03","0.000",0,"999.000"
"71","Intercepts A_04","0.000",0,"999.000"
"72","Intercepts A_05","0.000",0,"999.000"
"73","Intercepts A_06","0.000",0,"999.000"
"74","Intercepts B_01","26.741",2.152,"0.000"
"75","Intercepts B_02","0.000",0,"999.000"
"76","Intercepts B_03","0.000",0,"999.000"
"77","Intercepts B_04","0.000",0,"999.000"
"78","Intercepts B_05","0.000",0,"999.000"
"79","Intercepts B_06","0.000",0,"999.000"
"80","Intercepts IA","5.052",0.201,"0.000"
"81","Intercepts SA","-0.073",0.032,"0.022"
"82","Intercepts IB","40.377",2.24,"0.000"
"83","Residual.Variances A_01","1.872",0.042,"0.000"
"84","Residual.Variances A_02","1.250",0.045,"0.000"
"85","Residual.Variances A_03","1.262",0.034,"0.000"
"86","Residual.Variances A_04","1.425",0.043,"0.000"
"87","Residual.Variances A_05","1.322",0.047,"0.000"
"88","Residual.Variances A_06","1.318",0.052,"0.000"
"89","Residual.Variances B_01","68.280",3.124,"0.000"
"90","Residual.Variances B_02","24.087",2.023,"0.000"
"91","Residual.Variances B_03","33.024",2.187,"0.000"
"92","Residual.Variances B_04","29.853",1.685,"0.000"
"93","Residual.Variances B_05","32.815",1.836,"0.000"
"94","Residual.Variances B_06","30.621",2.329,"0.000"
"95","Residual.Variances IA","0.712",0.05,"0.000"
"96","Residual.Variances SA","0.003",0.001,"0.021"
"97","Residual.Variances IB","67.855",3.362,"0.000"
