"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",-0.003,0.014,0.81
"26","A_02.ON B_01",0.001,0.003,0.698
"27","A_03.ON A_02",-0.01,0.012,0.427
"28","A_03.ON B_02",0.002,0.003,0.409
"29","A_04.ON A_03",-0.02,0.013,0.124
"30","A_04.ON B_03",-0.002,0.003,0.472
"31","A_05.ON A_04",-0.014,0.016,0.41
"32","A_05.ON B_04",-0.004,0.004,0.291
"33","A_06.ON A_05",-0.043,0.023,0.066
"34","A_06.ON B_05",-0.001,0.005,0.801
"35","B_02.ON B_01",-0.099,0.028,0
"36","B_02.ON A_01",-0.003,0.113,0.981
"37","B_03.ON B_02",-0.178,0.058,0.002
"38","B_03.ON A_02",-0.005,0.108,0.96
"39","B_04.ON B_03",-0.269,0.084,0.001
"40","B_04.ON A_03",-0.008,0.097,0.937
"41","B_05.ON B_04",-0.377,0.116,0.001
"42","B_05.ON A_04",0.027,0.122,0.826
"43","B_06.ON B_05",-0.516,0.143,0
"44","B_06.ON A_05",0.181,0.169,0.284
"45","SA.WITH IA",0.006,0.004,0.206
"46","IB.WITH IA",2.066,0.258,0
"47","IB.WITH SA",0.006,0.032,0.862
"48","SB.WITH IA",0.135,0.047,0.004
"49","SB.WITH SA",0.012,0.006,0.025
"50","SB.WITH IB",1.912,0.753,0.011
"51","A_01.WITH B_01",-0.453,0.323,0.16
"52","B_02.WITH A_02",0.107,0.171,0.53
"53","B_03.WITH A_03",-0.498,0.186,0.007
"54","B_04.WITH A_04",0.115,0.173,0.508
"55","B_05.WITH A_05",0.237,0.214,0.268
"56","B_06.WITH A_06",0.392,0.249,0.116
"57","Means IA",5.437,0.02,0
"58","Means SA",-0.072,0.016,0
"59","Means IB",30.271,0.229,0
"60","Means SB",1.151,0.395,0.004
"61","Intercepts A_01",0,0,999
"62","Intercepts A_02",0,0,999
"63","Intercepts A_03",0,0,999
"64","Intercepts A_04",0,0,999
"65","Intercepts A_05",0,0,999
"66","Intercepts A_06",0,0,999
"67","Intercepts B_01",0,0,999
"68","Intercepts B_02",0,0,999
"69","Intercepts B_03",0,0,999
"70","Intercepts B_04",0,0,999
"71","Intercepts B_05",0,0,999
"72","Intercepts B_06",0,0,999
"73","Variances IA",1.064,0.043,0
"74","Variances SA",0.005,0.001,0
"75","Variances IB",37.888,3.082,0
"76","Variances SB",0.184,0.099,0.063
"77","Residual.Variances A_01",1.187,0.043,0
"78","Residual.Variances A_02",1.252,0.036,0
"79","Residual.Variances A_03",1.267,0.033,0
"80","Residual.Variances A_04",1.433,0.044,0
"81","Residual.Variances A_05",1.296,0.05,0
"82","Residual.Variances A_06",1.304,0.05,0
"83","Residual.Variances B_01",34.667,3.588,0
"84","Residual.Variances B_02",27.482,1.871,0
"85","Residual.Variances B_03",31.843,2.045,0
"86","Residual.Variances B_04",28.599,2.059,0
"87","Residual.Variances B_05",30.63,2.387,0
"88","Residual.Variances B_06",28.734,2.178,0
