"","parameter","est","se","pval"
"1","IA.BY A_02",1,0,999
"2","IA.BY A_03",1,0,999
"3","IA.BY A_04",1,0,999
"4","IA.BY A_05",1,0,999
"5","IA.BY A_06",1,0,999
"6","SA.BY A_02",0,0,999
"7","SA.BY A_03",2,0,999
"8","SA.BY A_04",4,0,999
"9","SA.BY A_05",6,0,999
"10","SA.BY A_06",8,0,999
"11","IB.BY B_02",1,0,999
"12","IB.BY B_03",1,0,999
"13","IB.BY B_04",1,0,999
"14","IB.BY B_05",1,0,999
"15","IB.BY B_06",1,0,999
"16","A_02.ON A_01",-0.012,0.013,0.357
"17","A_02.ON B_01",0.007,0.003,0.026
"18","A_03.ON A_02",-0.012,0.013,0.357
"19","A_03.ON B_02",0.011,0.003,0
"20","A_04.ON A_03",-0.012,0.013,0.357
"21","A_04.ON B_03",0.009,0.003,0.001
"22","A_05.ON A_04",-0.012,0.013,0.357
"23","A_05.ON B_04",0.012,0.003,0
"24","A_06.ON A_05",-0.012,0.013,0.357
"25","A_06.ON B_05",0.015,0.003,0
"26","B_02.ON B_01",0.303,0.075,0
"27","B_02.ON A_01",0.966,0.155,0
"28","B_03.ON B_02",0.42,0.096,0
"29","B_03.ON A_02",0.415,0.109,0
"30","B_04.ON B_03",0.399,0.092,0
"31","B_04.ON A_03",0.467,0.1,0
"32","B_05.ON B_04",0.413,0.104,0
"33","B_05.ON A_04",0.33,0.102,0.001
"34","B_06.ON B_05",0.381,0.103,0
"35","B_06.ON A_05",0.448,0.101,0
"36","IA.WITH SA",0.009,0.006,0.155
"37","IA.WITH A_01",1.081,0.04,0
"38","IA.WITH IB",0.266,0.164,0.104
"39","SA.WITH A_01",-0.003,0.005,0.517
"40","IB.WITH B_01",19.09,3.547,0
"41","A_01.WITH B_01",-0.3,0.332,0.366
"42","Means A_01",5.433,0.02,0
"43","Means B_01",30.448,0.235,0
"44","Means IA",5.151,0.134,0
"45","Means SA",-0.13,0.013,0
"46","Means IB",15.001,2.913,0
"47","Intercepts A_02",0,0,999
"48","Intercepts A_03",0,0,999
"49","Intercepts A_04",0,0,999
"50","Intercepts A_05",0,0,999
"51","Intercepts A_06",0,0,999
"52","Intercepts B_02",0,0,999
"53","Intercepts B_03",0,0,999
"54","Intercepts B_04",0,0,999
"55","Intercepts B_05",0,0,999
"56","Intercepts B_06",0,0,999
"57","Variances A_01",2.265,0.047,0
"58","Variances B_01",70.44,3.042,0
"59","Variances IA",1.092,0.064,0
"60","Variances SA",0.004,0.001,0.013
"61","Variances IB",13.917,5.462,0.011
"62","Residual.Variances A_02",1.257,0.046,0
"63","Residual.Variances A_03",1.274,0.034,0
"64","Residual.Variances A_04",1.434,0.044,0
"65","Residual.Variances A_05",1.329,0.048,0
"66","Residual.Variances A_06",1.327,0.054,0
"67","Residual.Variances B_02",33.362,2.419,0
"68","Residual.Variances B_03",30.153,2.456,0
"69","Residual.Variances B_04",26.418,2.003,0
"70","Residual.Variances B_05",31.333,2.095,0
"71","Residual.Variances B_06",30.064,2.375,0
