"","parameter","est","se","pval"
"1","IA.| A_01","1.000",0,"999.000"
"2","IA.| A_02","1.000",0,"999.000"
"3","IA.| A_03","1.000",0,"999.000"
"4","IA.| A_04","1.000",0,"999.000"
"5","IA.| A_05","1.000",0,"999.000"
"6","IA.| A_06","1.000",0,"999.000"
"7","SA.| A_01","0.000",0,"999.000"
"8","SA.| A_02","2.000",0,"999.000"
"9","SA.| A_03","4.000",0,"999.000"
"10","SA.| A_04","6.000",0,"999.000"
"11","SA.| A_05","8.000",0,"999.000"
"12","SA.| A_06","10.000",0,"999.000"
"13","IB.| B_01","1.000",0,"999.000"
"14","IB.| B_02","1.000",0,"999.000"
"15","IB.| B_03","1.000",0,"999.000"
"16","IB.| B_04","1.000",0,"999.000"
"17","IB.| B_05","1.000",0,"999.000"
"18","IB.| B_06","1.000",0,"999.000"
"19","SB.| B_01","0.000",0,"999.000"
"20","SB.| B_02","2.000",0,"999.000"
"21","SB.| B_03","4.000",0,"999.000"
"22","SB.| B_04","6.000",0,"999.000"
"23","SB.| B_05","8.000",0,"999.000"
"24","SB.| B_06","10.000",0,"999.000"
"25","A_02.ON A_01","-0.002",0.015,"0.873"
"26","A_02.ON B_01","0.018",0.027,"0.499"
"27","A_03.ON A_02","-0.003",0.012,"0.780"
"28","A_03.ON B_02","0.031",0.032,"0.331"
"29","A_04.ON A_03","-0.015",0.013,"0.246"
"30","A_04.ON B_03","0.006",0.04,"0.883"
"31","A_05.ON A_04","-0.020",0.017,"0.225"
"32","A_05.ON B_04","0.018",0.054,"0.739"
"33","A_06.ON A_05","-0.047",0.023,"0.039"
"34","A_06.ON B_05","0.056",0.069,"0.417"
"35","B_02.ON B_01","-0.044",0.045,"0.325"
"36","B_02.ON A_01","0.007",0.012,"0.592"
"37","B_03.ON B_02","-0.086",0.101,"0.395"
"38","B_03.ON A_02","-0.010",0.011,"0.367"
"39","B_04.ON B_03","-0.145",0.158,"0.358"
"40","B_04.ON A_03","-0.014",0.011,"0.172"
"41","B_05.ON B_04","-0.267",0.22,"0.225"
"42","B_05.ON A_04","0.008",0.012,"0.521"
"43","B_06.ON B_05","-0.410",0.293,"0.162"
"44","B_06.ON A_05","0.042",0.016,"0.007"
"45","SA.WITH IA","0.005",0.005,"0.269"
"46","IB.WITH IA","0.091",0.027,"0.001"
"47","IB.WITH SA","0.004",0.003,"0.168"
"48","SB.WITH IA","0.006",0.004,"0.155"
"49","SB.WITH SA","0.000",0.001,"0.925"
"50","SB.WITH IB","0.003",0.01,"0.780"
"51","A_01.WITH B_01","0.012",0.031,"0.709"
"52","B_02.WITH A_02","0.000",0.015,"0.982"
"53","B_03.WITH A_03","-0.004",0.017,"0.791"
"54","B_04.WITH A_04","0.025",0.017,"0.133"
"55","B_05.WITH A_05","0.032",0.024,"0.179"
"56","B_06.WITH A_06","0.007",0.026,"0.788"
"57","Means IA","5.438",0.02,"0.000"
"58","Means SA","-0.091",0.023,"0.000"
"59","Means IB","3.385",0.02,"0.000"
"60","Means SB","0.066",0.092,"0.472"
"61","Intercepts A_01","0.000",0,"999.000"
"62","Intercepts A_02","0.000",0,"999.000"
"63","Intercepts A_03","0.000",0,"999.000"
"64","Intercepts A_04","0.000",0,"999.000"
"65","Intercepts A_05","0.000",0,"999.000"
"66","Intercepts A_06","0.000",0,"999.000"
"67","Intercepts B_01","0.000",0,"999.000"
"68","Intercepts B_02","0.000",0,"999.000"
"69","Intercepts B_03","0.000",0,"999.000"
"70","Intercepts B_04","0.000",0,"999.000"
"71","Intercepts B_05","0.000",0,"999.000"
"72","Intercepts B_06","0.000",0,"999.000"
"73","Variances IA","1.059",0.044,"0.000"
"74","Variances SA","0.005",0.001,"0.000"
"75","Variances IB","0.377",0.026,"0.000"
"76","Variances SB","0.002",0.001,"0.000"
"77","Residual.Variances A_01","1.189",0.043,"0.000"
"78","Residual.Variances A_02","1.257",0.036,"0.000"
"79","Residual.Variances A_03","1.273",0.033,"0.000"
"80","Residual.Variances A_04","1.427",0.044,"0.000"
"81","Residual.Variances A_05","1.292",0.05,"0.000"
"82","Residual.Variances A_06","1.302",0.05,"0.000"
"83","Residual.Variances B_01","0.216",0.033,"0.000"
"84","Residual.Variances B_02","0.151",0.017,"0.000"
"85","Residual.Variances B_03","0.222",0.021,"0.000"
"86","Residual.Variances B_04","0.249",0.024,"0.000"
"87","Residual.Variances B_05","0.317",0.027,"0.000"
"88","Residual.Variances B_06","0.358",0.034,"0.000"
