"","parameter","est","se","pval"
"1","IA.BY A_02","1.000",0,"999.000"
"2","IA.BY A_03","1.000",0,"999.000"
"3","IA.BY A_04","1.000",0,"999.000"
"4","IA.BY A_05","1.000",0,"999.000"
"5","IA.BY A_06","1.000",0,"999.000"
"6","SA.BY A_02","0.000",0,"999.000"
"7","SA.BY A_03","2.000",0,"999.000"
"8","SA.BY A_04","4.000",0,"999.000"
"9","SA.BY A_05","6.000",0,"999.000"
"10","SA.BY A_06","8.000",0,"999.000"
"11","IB.BY B_02","1.000",0,"999.000"
"12","IB.BY B_03","1.000",0,"999.000"
"13","IB.BY B_04","1.000",0,"999.000"
"14","IB.BY B_05","1.000",0,"999.000"
"15","IB.BY B_06","1.000",0,"999.000"
"16","A_02.ON A_01","-0.016",0.013,"0.207"
"17","A_02.ON B_01","0.035",0.035,"0.315"
"18","A_03.ON A_02","-0.016",0.013,"0.207"
"19","A_03.ON B_02","0.080",0.031,"0.009"
"20","A_04.ON A_03","-0.016",0.013,"0.207"
"21","A_04.ON B_03","0.072",0.028,"0.011"
"22","A_05.ON A_04","-0.016",0.013,"0.207"
"23","A_05.ON B_04","0.114",0.029,"0.000"
"24","A_06.ON A_05","-0.016",0.013,"0.207"
"25","A_06.ON B_05","0.152",0.033,"0.000"
"26","B_02.ON B_01","0.329",0.062,"0.000"
"27","B_02.ON A_01","0.043",0.008,"0.000"
"28","B_03.ON B_02","0.349",0.063,"0.000"
"29","B_03.ON A_02","0.014",0.01,"0.147"
"30","B_04.ON B_03","0.349",0.064,"0.000"
"31","B_04.ON A_03","0.006",0.008,"0.483"
"32","B_05.ON B_04","0.281",0.069,"0.000"
"33","B_05.ON A_04","0.029",0.01,"0.003"
"34","B_06.ON B_05","0.242",0.074,"0.001"
"35","B_06.ON A_05","0.041",0.011,"0.000"
"36","IA.WITH SA","0.009",0.006,"0.118"
"37","IA.WITH A_01","1.101",0.04,"0.000"
"38","IA.WITH IB","0.012",0.013,"0.363"
"39","SA.WITH A_01","-0.002",0.005,"0.625"
"40","IB.WITH B_01","0.187",0.025,"0.000"
"41","A_01.WITH B_01","0.007",0.027,"0.785"
"42","Means A_01","5.433",0.02,"0.000"
"43","Means B_01","3.397",0.021,"0.000"
"44","Means IA","5.274",0.145,"0.000"
"45","Means SA","-0.149",0.015,"0.000"
"46","Means IB","2.048",0.223,"0.000"
"47","Intercepts A_02","0.000",0,"999.000"
"48","Intercepts A_03","0.000",0,"999.000"
"49","Intercepts A_04","0.000",0,"999.000"
"50","Intercepts A_05","0.000",0,"999.000"
"51","Intercepts A_06","0.000",0,"999.000"
"52","Intercepts B_02","0.000",0,"999.000"
"53","Intercepts B_03","0.000",0,"999.000"
"54","Intercepts B_04","0.000",0,"999.000"
"55","Intercepts B_05","0.000",0,"999.000"
"56","Intercepts B_06","0.000",0,"999.000"
"57","Variances A_01","2.264",0.047,"0.000"
"58","Variances B_01","0.572",0.03,"0.000"
"59","Variances IA","1.126",0.063,"0.000"
"60","Variances SA","0.004",0.001,"0.009"
"61","Variances IB","0.159",0.034,"0.000"
"62","Residual.Variances A_02","1.252",0.046,"0.000"
"63","Residual.Variances A_03","1.268",0.034,"0.000"
"64","Residual.Variances A_04","1.431",0.044,"0.000"
"65","Residual.Variances A_05","1.322",0.047,"0.000"
"66","Residual.Variances A_06","1.324",0.053,"0.000"
"67","Residual.Variances B_02","0.184",0.015,"0.000"
"68","Residual.Variances B_03","0.211",0.023,"0.000"
"69","Residual.Variances B_04","0.228",0.018,"0.000"
"70","Residual.Variances B_05","0.350",0.024,"0.000"
"71","Residual.Variances B_06","0.413",0.03,"0.000"
