"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","A_02.ON A_01",0.036,0.011,0.001
"14","A_03.ON A_02",0.036,0.011,0.001
"15","A_04.ON A_03",0.036,0.011,0.001
"16","A_05.ON A_04",0.036,0.011,0.001
"17","A_06.ON A_05",0.036,0.011,0.001
"18","SA.WITH IA",-0.002,0.001,0.054
"19","Means IA",1.378,0.014,0
"20","Means SA",0.003,0.001,0.015
"21","Intercepts A_01",0,0,999
"22","Intercepts A_02",0,0,999
"23","Intercepts A_03",0,0,999
"24","Intercepts A_04",0,0,999
"25","Intercepts A_05",0,0,999
"26","Intercepts A_06",0,0,999
"27","Variances IA",0.14,0.01,0
"28","Variances SA",0.001,0,0.003
"29","Residual.Variances A_01",0.103,0.011,0
"30","Residual.Variances A_02",0.111,0.007,0
"31","Residual.Variances A_03",0.123,0.007,0
"32","Residual.Variances A_04",0.118,0.007,0
"33","Residual.Variances A_05",0.096,0.008,0
"34","Residual.Variances A_06",0.099,0.011,0
