"","parameter","est","se","pval"
"1","IA.| A_02",1,0,999
"2","IA.| A_03",1,0,999
"3","IA.| A_04",1,0,999
"4","IA.| A_05",1,0,999
"5","IA.| A_06",1,0,999
"6","SA.| A_02",0,0,999
"7","SA.| A_03",2,0,999
"8","SA.| A_04",4,0,999
"9","SA.| A_05",6,0,999
"10","SA.| A_06",8,0,999
"11","A_02.ON A_01",0.135,0.155,0.382
"12","A_03.ON A_02",-0.048,0.12,0.689
"13","A_04.ON A_03",-0.231,0.11,0.036
"14","A_05.ON A_04",-0.39,0.125,0.002
"15","A_06.ON A_05",-0.57,0.152,0
"16","SA.WITH IA",0.008,0.003,0.015
"17","A_01.WITH IA",0.111,0.032,0
"18","A_01.WITH SA",0.009,0.005,0.084
"19","Means A_01",1.379,0.013,0
"20","Means IA",1.248,0.213,0
"21","Means SA",0.13,0.038,0.001
"22","Intercepts A_02",0,0,999
"23","Intercepts A_03",0,0,999
"24","Intercepts A_04",0,0,999
"25","Intercepts A_05",0,0,999
"26","Intercepts A_06",0,0,999
"27","Variances A_01",0.23,0.011,0
"28","Variances IA",0.127,0.033,0
"29","Variances SA",0.001,0.001,0.569
"30","Residual.Variances A_02",0.098,0.015,0
"31","Residual.Variances A_03",0.119,0.013,0
"32","Residual.Variances A_04",0.129,0.011,0
"33","Residual.Variances A_05",0.108,0.009,0
"34","Residual.Variances A_06",0.111,0.01,0
