"","parameter","est","se","pval"
"1","IA.| A_02",1,0,999
"2","IA.| A_03",1,0,999
"3","IA.| A_04",1,0,999
"4","IA.| A_05",1,0,999
"5","IA.| A_06",1,0,999
"6","A_02.ON A_01",0.232,0.062,0
"7","A_03.ON A_02",0.232,0.062,0
"8","A_04.ON A_03",0.232,0.062,0
"9","A_05.ON A_04",0.232,0.062,0
"10","A_06.ON A_05",0.232,0.062,0
"11","A_01.WITH IA",0.088,0.011,0
"12","Means A_01",1.379,0.013,0
"13","Means IA",1.114,0.089,0
"14","Intercepts A_02",0,0,999
"15","Intercepts A_03",0,0,999
"16","Intercepts A_04",0,0,999
"17","Intercepts A_05",0,0,999
"18","Intercepts A_06",0,0,999
"19","Variances A_01",0.23,0.011,0
"20","Variances IA",0.083,0.015,0
"21","Residual.Variances A_02",0.122,0.006,0
"22","Residual.Variances A_03",0.121,0.007,0
"23","Residual.Variances A_04",0.114,0.007,0
"24","Residual.Variances A_05",0.107,0.007,0
"25","Residual.Variances A_06",0.118,0.007,0
