"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","A_02.ON A_01",-0.11,0.02,0
"14","A_03.ON A_02",-0.199,0.041,0
"15","A_04.ON A_03",-0.297,0.06,0
"16","A_05.ON A_04",-0.405,0.081,0
"17","A_06.ON A_05",-0.527,0.102,0
"18","SA.WITH IA",1.911,0.607,0.002
"19","Means IA",30.3,0.23,0
"20","Means SA",1.285,0.295,0
"21","Intercepts A_01",0,0,999
"22","Intercepts A_02",0,0,999
"23","Intercepts A_03",0,0,999
"24","Intercepts A_04",0,0,999
"25","Intercepts A_05",0,0,999
"26","Intercepts A_06",0,0,999
"27","Variances IA",39.008,2.944,0
"28","Variances SA",0.178,0.092,0.052
"29","Residual.Variances A_01",33.739,3.413,0
"30","Residual.Variances A_02",27.21,1.818,0
"31","Residual.Variances A_03",32.634,1.966,0
"32","Residual.Variances A_04",28.897,1.695,0
"33","Residual.Variances A_05",30.929,2.155,0
"34","Residual.Variances A_06",28.519,2.06,0
