"","parameter","est","se","pval"
"1","IA.| A_02",1,0,999
"2","IA.| A_03",1,0,999
"3","IA.| A_04",1,0,999
"4","IA.| A_05",1,0,999
"5","IA.| A_06",1,0,999
"6","SA.| A_02",0,0,999
"7","SA.| A_03",2,0,999
"8","SA.| A_04",4,0,999
"9","SA.| A_05",6,0,999
"10","SA.| A_06",8,0,999
"11","A_02.ON A_01",-0.08,0.155,0.605
"12","A_03.ON A_02",-0.196,0.133,0.141
"13","A_04.ON A_03",-0.308,0.111,0.006
"14","A_05.ON A_04",-0.418,0.097,0
"15","A_06.ON A_05",-0.534,0.093,0
"16","SA.WITH IA",0.09,0.032,0.005
"17","A_01.WITH IA",1.748,0.344,0
"18","A_01.WITH SA",0.015,0.039,0.705
"19","Means A_01",9.785,0.04,0
"20","Means IA",10.357,1.521,0
"21","Means SA",0.542,0.163,0.001
"22","Intercepts A_02",0,0,999
"23","Intercepts A_03",0,0,999
"24","Intercepts A_04",0,0,999
"25","Intercepts A_05",0,0,999
"26","Intercepts A_06",0,0,999
"27","Variances A_01",2.371,0.096,0
"28","Variances IA",1.568,0.391,0
"29","Variances SA",-0.001,0.007,0.841
"30","Residual.Variances A_02",1.051,0.224,0
"31","Residual.Variances A_03",1.115,0.094,0
"32","Residual.Variances A_04",1.059,0.058,0
"33","Residual.Variances A_05",1.038,0.075,0
"34","Residual.Variances A_06",1.121,0.093,0
