"","parameter","est","se","pval"
"1","IA.| A_02",1,0,999
"2","IA.| A_03",1,0,999
"3","IA.| A_04",1,0,999
"4","IA.| A_05",1,0,999
"5","IA.| A_06",1,0,999
"6","SA.| A_02",0,0,999
"7","SA.| A_03",2,0,999
"8","SA.| A_04",4,0,999
"9","SA.| A_05",6,0,999
"10","SA.| A_06",8,0,999
"11","A_02.ON A_01",0.003,0.022,0.892
"12","A_03.ON A_02",0.019,0.016,0.234
"13","A_04.ON A_03",-0.016,0.014,0.246
"14","A_05.ON A_04",-0.021,0.019,0.257
"15","A_06.ON A_05",-0.024,0.029,0.408
"16","SA.WITH IA",0.027,0.013,0.036
"17","A_01.WITH IA",1.683,0.077,0
"18","A_01.WITH SA",-0.002,0.014,0.874
"19","Means A_01",4.374,0.025,0
"20","Means IA",4.213,0.096,0
"21","Means SA",-0.103,0.02,0
"22","Intercepts A_02",0,0,999
"23","Intercepts A_03",0,0,999
"24","Intercepts A_04",0,0,999
"25","Intercepts A_05",0,0,999
"26","Intercepts A_06",0,0,999
"27","Variances A_01",3.403,0.068,0
"28","Variances IA",1.604,0.12,0
"29","Variances SA",0.007,0.002,0.005
"30","Residual.Variances A_02",1.924,0.068,0
"31","Residual.Variances A_03",1.846,0.053,0
"32","Residual.Variances A_04",1.874,0.051,0
"33","Residual.Variances A_05",1.802,0.068,0
"34","Residual.Variances A_06",1.706,0.074,0
